,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22693,a,0,0,1,0.227442,0.822358
1,22703,h,3,4,3,2.17962,0.958638
2,22713,a,0,0,1,0.860623,2.67029
3,22720,h,3,1,0,1.90475,0.715753
4,22734,a,0,0,2,0.556231,2.64605
5,22742,h,0,0,2,1.97317,1.77623
6,22754,a,1,1,1,2.39712,0.497466
7,22761,h,0,0,2,1.5824,1.26744
8,22769,h,1,1,1,1.89594,0.872851
9,22784,a,1,1,1,1.79896,1.71642
10,22794,a,0,1,2,0.385398,1.94088
11,22797,h,3,1,0,2.57982,0.893084
12,22814,a,0,1,2,1.83858,1.81139
13,22819,h,3,3,1,0.871813,1.13855
14,22834,a,1,0,0,0.277842,0.909609
15,22840,h,0,0,1,2.20546,0.473883
16,22854,a,0,0,3,0.546438,1.92988
17,22862,h,0,0,1,0.388196,0.947483
18,22874,a,1,1,1,0.969339,0.98082
19,22884,a,3,3,2,2.08895,2.49561
20,22887,h,3,1,0,1.83115,0.670357
21,22904,a,3,3,0,2.061,1.80182
22,22910,h,0,1,3,1.04716,1.55781
23,22919,h,1,1,1,2.09111,1.29002
24,22934,a,1,0,0,0.490778,1.18267
25,22943,h,1,1,1,0.501891,1.80166
26,22954,a,0,0,1,1.14533,1.71646
27,22960,h,3,1,0,0.640241,0.579451
28,22974,a,0,0,2,1.38702,2.31129
29,22980,h,0,0,1,0.142958,1.29248
30,22994,a,0,0,2,0.279326,1.86823
31,22999,h,3,2,0,0.521018,0.715212
32,23010,h,3,3,0,3.41094,0.188273
33,23024,a,3,1,0,1.16915,1.40821
34,23030,h,1,2,2,2.40148,1.53657
35,23044,a,0,0,5,1.50657,2.88216
36,23050,h,3,1,0,1.57753,0.658124
37,23064,a,1,1,1,2.23542,1.15618
