,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22685,h,0,0,2,1.1196,2.09532
1,22698,h,0,1,3,1.81328,2.8802
2,22707,a,1,1,1,0.271622,1.56203
3,22715,h,0,2,3,3.16421,1.96028
4,22730,a,0,1,2,1.76794,1.43205
5,22735,h,1,2,2,2.46387,0.995742
6,22747,a,0,1,5,1.37069,2.90509
7,22755,h,1,3,3,2.24188,3.51421
8,22770,a,0,0,3,0.0892217,3.02889
9,22776,a,0,2,5,0.878392,2.1972
10,22785,h,0,1,2,0.275712,1.06446
11,22797,a,0,0,1,0.893084,2.57982
12,22805,h,0,1,3,0.637245,2.53693
13,22820,a,0,1,2,1.72918,1.39391
14,22825,h,1,0,0,2.69938,0.769817
15,22841,a,0,1,2,1.6656,2.16876
16,22845,h,1,0,0,0.314828,1.51369
17,22863,a,0,2,3,1.39703,4.04903
18,22867,a,0,0,1,0.239636,2.03356
19,22875,h,1,0,0,2.20551,0.246622
20,22888,a,0,2,3,0.928735,3.07258
21,22904,h,0,0,3,1.80182,2.061
22,22911,a,0,1,2,1.5882,1.38646
23,22915,h,1,0,0,0.900611,0.621857
24,22929,a,1,1,1,0.693843,1.79616
25,22935,h,1,2,2,0.352281,1.87638
26,22948,a,0,0,1,0.3259,1.82317
27,22955,h,1,2,2,1.81235,2.6495
28,22968,a,3,1,0,0.688106,0.793707
29,22975,h,0,0,3,0.745696,1.00888
30,22991,a,1,2,2,1.77546,1.68743
31,22995,h,0,1,2,2.14538,1.60008
32,23005,h,0,1,3,2.748,1.67485
33,23016,a,3,1,0,0.555982,2.09609
34,23031,a,0,2,3,1.08304,1.69343
35,23035,h,0,0,2,1.03949,2.13122
36,23051,a,1,2,2,0.238391,2.45608
37,23055,h,3,6,1,3.23442,0.494605
