,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22689,h,0,0,2,0.700577,1.33266
1,22699,a,3,2,0,1.88906,1.33582
2,22706,h,3,4,2,2.86727,0.346198
3,22721,a,1,0,0,0.645541,0.403052
4,22725,h,3,3,0,4.05837,0.238836
5,22742,a,3,2,0,1.77623,1.97317
6,22745,h,1,2,2,0.60877,1.30782
7,22762,a,0,0,3,1.96039,1.38238
8,22770,h,3,3,0,3.02889,0.0892217
9,22777,a,0,0,1,0.453295,1.70266
10,22786,h,1,2,2,1.63308,2.17868
11,22798,a,3,3,2,2.22797,1.78074
12,22806,h,3,4,3,4.72334,2.25302
13,22821,a,1,1,1,1.67266,1.36177
14,22826,h,3,4,0,1.6869,0.34629
15,22842,a,1,1,1,1.68816,0.543471
16,22846,h,3,2,0,2.73082,0.342126
17,22855,h,3,1,0,3.53577,0.2514
18,22868,a,3,2,0,1.99704,0.54777
19,22876,h,3,2,1,1.73042,1.02381
20,22889,a,0,0,1,0.351363,0.7444
21,22900,a,1,0,0,0.25604,0.367526
22,22905,h,3,4,0,1.95995,0.469702
23,22915,a,1,0,0,0.621857,0.900611
24,22925,h,3,3,2,2.7904,1.80583
25,22944,a,0,1,3,0.137757,0.921277
26,22945,h,1,0,0,0.468397,0.714592
27,22961,a,3,2,0,1.27321,0.834663
28,22974,h,3,2,0,2.31129,1.38702
29,22981,a,0,0,2,0.304704,1.1877
30,22985,h,1,1,1,0.823044,2.1913
31,22996,h,1,1,1,1.64137,0.150973
32,23011,a,0,1,3,0.894572,0.62028
33,23017,a,3,2,0,0.925588,4.41644
34,23025,h,1,2,2,2.17034,1.05326
35,23038,a,0,1,2,0.377111,0.758179
36,23045,h,3,2,0,1.78593,1.29208
37,23060,a,3,1,0,0.930597,1.47462
