,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22693,h,3,1,0,0.822358,0.227442
1,22701,a,0,0,2,1.11132,3.42524
2,22707,h,1,1,1,1.56203,0.271622
3,22718,h,3,3,1,1.97214,0.494033
4,22725,a,0,0,3,0.238836,4.05837
5,22738,a,1,1,1,0.570946,2.70742
6,22746,h,1,0,0,0.35761,0.258447
7,22756,a,0,2,3,0.677345,3.10102
8,22766,h,0,0,1,0.653575,1.26462
9,22780,a,0,0,2,0.551967,1.6763
10,22789,h,1,2,2,1.42705,1.28392
11,22801,a,0,0,1,0.821864,1.21452
12,22817,h,0,0,3,1.13056,1.84054
13,22810,a,1,1,1,0.251799,0.8514
14,22831,a,1,1,1,0.346727,2.73216
15,22837,h,1,1,1,1.15321,1.81825
16,22852,a,1,1,1,1.42619,0.826817
17,22858,h,1,0,0,0.856097,0.6603
18,22872,a,0,0,2,0.746073,3.87666
19,22880,h,0,1,4,1.55289,1.7596
20,22887,a,0,0,1,0.670357,1.83115
21,22900,h,1,0,0,0.367526,0.25604
22,22913,a,1,0,0,0.686978,1.00089
23,22921,h,0,0,2,0.755069,1.43872
24,22931,a,0,0,2,0.919753,1.37854
25,22937,h,1,2,2,1.87476,0.680213
26,22949,a,1,1,1,1.21648,0.688061
27,22962,h,3,2,0,1.18033,0.895711
28,22970,a,0,0,2,0.695705,2.34962
29,22977,h,3,1,0,1.19169,0.412637
30,22992,h,0,0,1,0.79048,0.833415
31,23002,a,0,1,4,1.82433,2.30941
32,23008,h,1,1,1,0.441837,0.827497
33,23021,a,0,0,3,0.998827,2.63447
34,23028,h,3,1,0,1.42818,0.310309
35,23041,a,3,1,0,2.85137,1.43788
36,23049,h,1,0,0,1.36112,0.966249
37,23055,a,0,1,6,0.494605,3.23442
