,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22687,a,1,1,1,1.27791,1.46019
1,22700,h,3,3,0,1.86612,0.754861
2,22709,a,3,2,1,1.07498,1.93643
3,22719,h,3,1,0,1.42397,1.18696
4,22732,a,3,4,2,2.1418,1.97263
5,22739,h,3,5,3,4.19225,2.42602
6,22751,a,3,2,1,2.29941,1.89071
7,22760,h,0,0,3,2.17781,2.78602
8,22766,a,3,1,0,1.26462,0.653575
9,22776,h,3,5,2,2.1972,0.878392
10,22792,h,3,1,0,0.619488,0.174681
11,22802,a,3,4,2,2.78694,2.18398
12,22812,a,3,2,1,4.2691,1.67584
13,22821,h,1,1,1,1.36177,1.67266
14,22827,h,3,2,1,1.85396,1.00981
15,22835,a,3,4,2,2.93797,4.25448
16,22854,h,3,3,0,1.92988,0.546438
17,22857,a,1,1,1,1.64551,1.61394
18,22869,h,3,4,3,2.32369,2.67389
19,22875,a,1,0,0,0.246622,2.20551
20,22886,h,3,5,1,2.95279,0.947841
21,22897,a,3,1,0,1.60712,1.03961
22,22907,h,1,0,0,1.04543,0.583723
23,22923,a,0,0,4,0.180194,3.32636
24,22925,a,0,2,3,1.80583,2.7904
25,22938,h,3,3,0,2.81311,0.564655
26,22950,a,0,0,1,1.08616,0.943297
27,22958,h,3,2,0,2.1772,0.185235
28,22966,a,0,0,1,1.70185,1.10963
29,22983,h,3,3,2,2.43161,0.524961
30,22986,a,0,1,3,2.20992,2.58629
31,23002,h,3,4,1,2.30941,1.82433
32,23012,a,3,2,0,2.0472,1.41676
33,23019,h,3,4,2,2.31519,2.6053
34,23030,a,1,2,2,1.53657,2.40148
35,23036,h,0,0,1,2.28453,0.776468
36,23053,a,3,3,1,2.90299,3.35606
37,23058,h,3,7,0,4.75092,0.987219
