,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22688,h,1,1,1,0.871699,1.49411
1,22696,a,0,0,1,0.741978,1.50324
2,22705,h,1,0,0,1.56933,1.11751
3,22719,a,0,0,1,1.18696,1.42397
4,22733,a,0,0,1,1.03513,2.43059
5,22744,h,3,1,0,0.701293,0.0378648
6,22753,a,0,0,2,0.618032,2.71542
7,22763,h,3,2,1,1.46382,1.54337
8,22774,a,3,2,1,1.1602,1.16305
9,22775,h,0,0,1,1.18559,1.25598
10,22785,a,3,2,1,1.06446,0.275712
11,22799,h,3,2,1,0.452709,1.52768
12,22813,a,1,1,1,0.291858,1.44069
13,22816,a,0,0,1,0.751589,1.92649
14,22832,h,3,2,0,1.8817,0.76355
15,22840,a,3,1,0,0.473883,2.20546
16,22852,h,1,1,1,0.826817,1.42619
17,22855,a,0,0,1,0.2514,3.53577
18,22870,h,0,1,2,0.967341,2.3608
19,22882,h,3,3,0,0.963955,1.71198
20,22894,a,3,2,0,0.786109,2.16832
21,22899,h,0,1,2,0.929969,2.05683
22,22909,a,1,1,1,1.27614,0.155607
23,22918,h,3,2,0,1.41954,0.251178
24,22926,a,0,0,5,0.660284,2.79269
25,22942,h,1,1,1,0.942659,0.387933
26,22947,a,1,3,3,1.37145,2.38804
27,22961,h,0,0,2,0.834663,1.27321
28,22968,h,0,0,1,0.793707,0.688106
29,22976,a,0,0,1,0.314295,1.72947
30,22990,h,0,0,2,0.0909476,2.06406
31,22997,a,0,1,4,0.90843,3.58931
32,23012,h,0,0,2,1.41676,2.0472
33,23023,a,0,0,2,0.56693,0.899129
34,23034,a,0,0,1,0.313172,0.45718
35,23040,h,1,2,2,2.61533,1.3277
36,23049,a,1,0,0,0.966249,1.36112
37,23064,h,1,1,1,1.15618,2.23542
