,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22688,a,1,1,1,1.49411,0.871699
1,22695,h,0,0,1,0.370077,2.12458
2,22708,a,0,2,3,2.50232,1.81377
3,22721,h,1,0,0,0.403052,0.645541
4,22727,a,3,1,0,0.853213,2.06489
5,22739,a,0,3,5,2.42602,4.19225
6,22749,h,1,2,2,1.21366,1.62815
7,22764,a,1,2,2,1.33689,1.78616
8,22768,h,1,1,1,0.919992,0.509313
9,22781,a,0,0,1,2.03914,2.0056
10,22793,h,1,0,0,0.722341,0.292202
11,22795,a,0,0,2,0.540374,2.84664
12,22815,a,0,0,1,0.945212,2.29683
13,22810,h,1,1,1,0.8514,0.251799
14,22834,h,1,0,0,0.909609,0.277842
15,22839,h,3,1,0,0.533315,0.554467
16,22845,a,1,0,0,1.51369,0.314828
17,22859,h,3,3,2,1.68391,1.5871
18,22873,a,0,0,1,0.840414,1.87575
19,22883,h,1,1,1,2.59976,0.711693
20,22893,a,1,1,1,0.430539,1.7328
21,22901,h,0,0,1,1.72961,0.400759
22,22905,a,0,0,4,0.469702,1.95995
23,22917,h,3,2,1,0.82898,1.40787
24,22927,h,0,1,2,0.188904,1.20859
25,22943,a,1,1,1,1.80166,0.501891
26,22950,h,3,1,0,0.943297,1.08616
27,22956,a,0,0,1,0.504754,2.06225
28,22973,h,3,1,0,1.65502,0.295993
29,22984,a,1,0,0,0.673736,1.33845
30,22988,h,0,0,1,0.592998,1.81161
31,23003,a,0,1,2,0.879845,1.72842
32,23008,a,1,1,1,0.827497,0.441837
33,23018,h,0,0,1,0.328479,0.874778
34,23034,h,3,1,0,0.45718,0.313172
35,23042,a,1,1,1,0.919263,0.428998
36,23051,h,1,2,2,2.45608,0.238391
37,23057,a,3,2,1,1.34437,1.07908
