,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22690,a,3,2,0,0.964645,0.783184
1,22699,h,0,0,2,1.33582,1.88906
2,22711,a,3,2,1,1.45939,1.87647
3,22722,h,0,1,2,0.801843,1.77255
4,22728,a,0,2,3,1.29606,0.736469
5,22740,h,1,0,0,1.57361,0.693906
6,22748,h,0,0,2,0.759357,1.22827
7,22761,a,3,2,0,1.26744,1.5824
8,22772,a,0,0,4,0.164111,4.47802
9,22783,h,3,2,0,1.79846,0.776224
10,22788,a,0,1,2,0.446425,1.43393
11,22802,h,0,2,4,2.18398,2.78694
12,22813,h,1,1,1,1.44069,0.291858
13,22824,a,0,1,3,1.26437,2.84591
14,22828,h,1,1,1,1.01822,1.69944
15,22837,a,1,1,1,1.81825,1.15321
16,22848,h,3,1,0,1.77561,1.15316
17,22859,a,0,2,3,1.5871,1.68391
18,22867,h,3,1,0,2.03356,0.239636
19,22892,h,3,3,2,1.57055,1.50775
20,22902,a,1,1,1,1.07779,1.42372
21,22878,a,0,0,1,1.41966,2.21737
22,22914,h,0,0,3,1.00524,1.37845
23,22924,a,3,1,0,0.704714,2.50503
24,22931,h,3,2,0,1.37854,0.919753
25,22942,a,1,1,1,0.387933,0.942659
26,22954,h,3,1,0,1.71646,1.14533
27,22958,a,0,0,2,0.185235,2.1772
28,22967,h,0,2,4,0.669756,3.05767
29,22975,a,3,3,0,1.00888,0.745696
30,22989,h,0,0,1,2.26875,0.235711
31,23004,a,0,1,2,0.930714,0.560289
32,23009,a,0,0,3,0.989028,2.31468
33,23020,h,0,0,2,1.02463,1.44688
34,23025,a,1,2,2,1.05326,2.17034
35,23042,h,1,1,1,0.428998,0.919263
36,23046,a,3,4,1,1.88434,1.76117
37,23059,h,1,1,1,1.09355,0.835313
