,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22685,a,3,2,0,2.09532,1.1196
1,22704,a,3,2,0,2.7851,0.837141
2,22714,h,0,0,7,0.542939,3.29424
3,22717,a,0,0,1,1.53554,0.91924
4,22734,h,3,2,0,2.64605,0.556231
5,22741,h,1,1,1,1.0345,1.0365
6,22746,a,1,0,0,0.258447,0.35761
7,22764,h,1,2,2,1.78616,1.33689
8,22773,a,1,2,2,0.998714,0.807105
9,22775,a,3,1,0,1.25598,1.18559
10,22790,h,1,2,2,0.844003,1.93178
11,22803,a,1,0,0,0.134981,1.85349
12,22812,h,0,1,2,1.67584,4.2691
13,22822,h,1,1,1,0.912299,1.30627
14,22826,a,0,0,4,0.34629,1.6869
15,22843,h,1,0,0,1.32415,0.126167
16,22848,a,0,0,1,1.15316,1.77561
17,22860,h,0,0,1,0.51265,0.33485
18,22865,a,3,2,0,2.73568,0.651184
19,22894,h,0,0,2,2.16832,0.786109
20,22903,a,1,0,0,0.129675,0.251108
21,22877,a,0,1,2,0.426602,1.29884
22,22908,h,0,1,2,2.1306,1.77647
23,22917,a,0,1,2,1.40787,0.82898
24,22928,h,1,1,1,1.1431,1.0219
25,22938,a,0,0,3,0.564655,2.81311
26,22949,h,1,1,1,0.688061,1.21648
27,22960,a,0,0,1,0.579451,0.640241
28,22969,h,3,2,0,0.790186,0.69375
29,22978,a,1,0,0,0.515128,0.838396
30,22993,h,1,0,0,0.777828,0.25153
31,23004,h,3,2,1,0.560289,0.930714
32,23013,a,0,0,3,0.896929,1.98091
33,23016,h,0,0,1,2.09609,0.555982
34,23032,a,1,0,0,0.785651,1.1633
35,23043,h,3,2,1,3.00296,0.933417
36,23047,a,0,0,3,1.68527,1.69959
37,23060,h,0,0,1,1.47462,0.930597
