,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22689,a,3,2,0,1.33266,0.700577
1,22698,a,3,3,1,2.8802,1.81328
2,22712,a,3,1,0,1.6167,1.17827
3,22723,h,3,2,1,2.64665,0.893748
4,22729,h,3,2,1,2.56902,2.1546
5,22736,a,0,1,3,0.847915,1.79578
6,22753,h,3,2,0,2.71542,0.618032
7,22760,a,3,3,0,2.78602,2.17781
8,22772,h,3,4,0,4.47802,0.164111
9,22782,a,1,1,1,2.17904,1.8723
10,22787,a,3,2,1,0.959404,1.32038
11,22803,h,1,0,0,1.85349,0.134981
12,22808,h,3,5,1,1.90598,2.03068
13,22817,a,3,3,0,1.84054,1.13056
14,22833,h,3,2,0,2.2606,0.110085
15,22836,a,1,1,1,0.803862,1.51575
16,22849,h,3,4,1,3.22478,0.421986
17,22862,a,3,1,0,0.947483,0.388196
18,22873,h,3,1,0,1.87575,0.840414
19,22888,h,3,3,2,3.07258,0.928735
20,22899,a,3,2,1,2.05683,0.929969
21,22881,a,3,2,0,2.72231,0.791039
22,22912,h,1,1,1,2.36334,1.35012
23,22923,h,3,4,0,3.32636,0.180194
24,22928,a,1,1,1,1.0219,1.1431
25,22939,h,3,1,0,1.01644,0.967099
26,22951,a,1,2,2,1.45798,1.33185
27,22963,h,3,4,0,3.6885,0.53726
28,22967,a,3,4,2,3.05767,0.669756
29,22981,h,3,2,0,1.1877,0.304704
30,22988,a,3,1,0,1.81161,0.592998
31,23000,h,3,3,2,2.7698,1.34666
32,23014,a,3,1,0,0.462672,0.380904
33,23021,h,3,3,0,2.63447,0.998827
34,23029,a,3,4,0,2.7909,0.699759
35,23044,h,3,5,0,2.88216,1.50657
36,23054,a,1,4,4,1.59129,2.21178
37,23063,h,1,0,0,1.24417,1.15552
