,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22687,h,1,1,1,1.46019,1.27791
1,22697,h,1,1,1,0.917678,1.77937
2,22705,a,1,0,0,1.11751,1.56933
3,22724,h,3,5,3,2.08686,0.549509
4,22729,a,0,1,2,2.1546,2.56902
5,22743,h,3,4,3,2.13384,1.59398
6,22752,a,3,1,0,0.29355,0.356756
7,22762,h,3,3,0,1.38238,1.96039
8,22765,a,0,1,2,0.928071,2.94239
9,22781,h,3,1,0,2.0056,2.03914
10,22790,a,1,2,2,1.93178,0.844003
11,22800,h,0,0,1,0.84705,1.22041
12,22805,a,3,3,1,2.53693,0.637245
13,22818,h,3,2,1,1.05204,0.374082
14,22828,a,1,1,1,1.69944,1.01822
15,22844,a,3,3,0,2.19834,2.37019
16,22851,h,1,0,0,0.989954,1.37163
17,22858,a,1,0,0,0.6603,0.856097
18,22874,h,1,1,1,0.98082,0.969339
19,22876,a,0,1,2,1.02381,1.73042
20,22885,a,3,1,0,0.630224,0.257377
21,22903,h,1,0,0,0.251108,0.129675
22,22907,a,1,0,0,0.583723,1.04543
23,22924,h,0,0,1,2.50503,0.704714
24,22927,a,3,2,1,1.20859,0.188904
25,22940,h,0,1,3,1.48985,1.6421
26,22952,a,0,2,3,1.27238,2.15506
27,22959,a,3,3,2,1.88323,2.0551
28,22970,h,3,2,0,2.34962,0.695705
29,22980,a,3,1,0,1.29248,0.142958
30,22991,h,1,2,2,1.68743,1.77546
31,22998,a,1,1,1,1.03517,1.19821
32,23014,h,0,0,1,0.380904,0.462672
33,23023,h,3,2,0,0.899129,0.56693
34,23027,a,0,0,2,0.799193,1.66029
35,23037,h,3,1,0,1.13192,0.774644
36,23048,a,3,2,0,0.792849,1.60754
37,23061,h,0,0,2,0.570544,2.19824
