,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22686,a,3,2,1,1.06796,0.714148
1,22696,h,3,1,0,1.50324,0.741978
2,22711,h,0,1,2,1.87647,1.45939
3,22720,a,0,0,1,0.715753,1.90475
4,22731,h,3,3,0,2.22142,0.564083
5,22735,a,1,2,2,0.995742,2.46387
6,22752,h,0,0,1,0.356756,0.29355
7,22758,a,0,0,3,0.510459,2.53745
8,22768,a,1,1,1,0.509313,0.919992
9,22780,h,3,2,0,1.6763,0.551967
10,22786,a,1,2,2,2.17868,1.63308
11,22804,h,3,1,0,1.18921,0.344591
12,22808,a,0,1,5,2.03068,1.90598
13,22823,h,1,0,0,0.247015,0.609862
14,22827,a,0,1,2,1.00981,1.85396
15,22838,a,0,0,1,0.183916,0.841976
16,22850,h,1,1,1,0.78681,3.16129
17,22860,a,3,1,0,0.33485,0.51265
18,22866,h,3,3,1,2.78114,1.15004
19,22880,a,3,4,1,1.7596,1.55289
20,22889,h,3,1,0,0.7444,0.351363
21,22895,a,0,0,2,0.406631,2.80234
22,22911,h,3,2,1,1.38646,1.5882
23,22918,a,0,0,2,0.251178,1.41954
24,22933,h,1,0,0,1.11987,0.0457854
25,22951,h,1,2,2,1.33185,1.45798
26,22964,h,3,1,0,1.27245,1.17773
27,22972,a,0,0,1,1.07722,2.1872
28,22984,h,1,0,0,1.33845,0.673736
29,22941,a,3,1,0,0.718558,0.729135
30,22989,a,3,1,0,0.235711,2.26875
31,23001,h,0,1,2,0.951475,1.82123
32,23006,a,0,2,4,1.49346,2.59636
33,23024,h,0,0,1,1.40821,1.16915
34,23032,h,1,0,0,1.1633,0.785651
35,23037,a,0,0,1,0.774644,1.13192
36,23053,h,0,1,3,3.35606,2.90299
37,23056,a,1,2,2,2.16042,1.50162
