position,team_title,points,points_h,points_a,goals_per90_h,goals_per90_a,against_per90_h,against_per90_a,xG_per90_h,xG_per90_a,xGa_per90_h,xGa_per90_a,points_pvalue,goals_for_pvalue,goals_against_pvalue,xG_for_pvalue,xG_against_pvalue
1,Real_Madrid,95.0,51.0,44.0,2.526315789473684,2.0526315789473686,0.47368421052631576,0.8947368421052632,2.511327894736842,1.7456308421052633,0.8760171578947368,1.1917925263157896,0.223146935552106,0.28694499584460853,0.18062642332894058,0.008366973492680004,0.1110680275250682
2,Barcelona,85.0,46.0,39.0,2.263157894736842,1.894736842105263,1.105263157894737,1.2105263157894737,2.412977894736842,1.890101947368421,1.2320204736842104,1.1594067894736844,0.3396858292614281,0.339179112355217,0.8159721469574527,0.0450299763143109,0.7379340523624958
3,Girona,81.0,47.0,34.0,2.789473684210526,1.6842105263157894,1.0526315789473684,1.368421052631579,2.2645435789473685,1.8432997894736844,1.2162875789473684,2.0430090526315787,0.0933648237336189,0.051811865982480894,0.3916683822445446,0.18862875377475632,0.006980422876861823
4,Atletico_Madrid,76.0,49.0,27.0,2.210526315789474,1.4736842105263157,1.1578947368421053,1.105263157894737,2.239052368421053,1.4362745789473685,1.0347531578947367,1.2523888947368422,0.00664958198603605,0.1313463256305782,0.8894183830749165,0.006183180318170788,0.4151685107587706
5,Athletic_Club,68.0,42.0,26.0,2.210526315789474,1.0,0.9473684210526315,1.0,2.1713120000000004,1.0727971052631577,0.988148352631579,1.2240278421052633,0.040292160507072655,0.0020069831436793045,0.882759558780957,0.0011858833610824018,0.3860072765743764
6,Real_Sociedad,60.0,30.0,30.0,1.368421052631579,1.3157894736842106,1.0526315789473684,1.0,1.3222077368421052,1.2653773684210525,1.162415789473684,1.3265547368421053,1.0,0.8958665945729714,0.8769338183889364,0.7877638826473122,0.5017069565101712
7,Real_Betis,57.0,34.0,23.0,1.4210526315789473,1.105263157894737,1.0,1.368421052631579,1.6905277368421052,1.0945054210526315,1.004044,1.75791047368421,0.14750512378946062,0.28059642535426965,0.3786337735995081,0.0018286482679429556,0.004984402917969328
8,Villarreal,53.0,26.0,27.0,1.894736842105263,1.5263157894736843,1.6842105263157894,1.736842105263158,1.892488736842105,1.2552482631578947,1.461305052631579,2.005268631578947,0.9031240688668377,0.38696633857128515,0.8951600409995686,0.006443813329923113,0.07768618218293666
9,Valencia,49.0,30.0,19.0,1.0526315789473684,1.0526315789473684,0.7368421052631579,1.631578947368421,1.4058361052631578,0.9691886842105263,1.0973982315789474,1.6567163684210526,0.17762915619455338,1.0,0.019887815036998956,0.06685970262300599,0.032885617830602516
10,Alaves,46.0,31.0,15.0,1.2105263157894737,0.6842105263157895,1.0,1.4210526315789473,1.5656129999999997,1.1695535263157895,1.017572052631579,1.723568052631579,0.04384514714627476,0.12908982816222997,0.25146385330223153,0.14063780302081152,0.0005961834894325181
11,Osasuna,45.0,23.0,22.0,1.0,1.368421052631579,1.368421052631579,1.5789473684210527,1.3619802105263157,1.0478602631578948,1.2619559999999999,1.7574556315789471,0.9036031875291095,0.2531612580300333,0.6093937319824342,0.06762163637274417,0.08240487950407178
12,Getafe,43.0,29.0,14.0,1.0526315789473684,1.1578947368421053,1.1578947368421053,1.6842105263157894,1.4322163157894738,1.213933105263158,1.331332157894737,1.7028888947368426,0.042974486713818476,0.779156040176922,0.17134641583197124,0.4435681297599201,0.10825829933813161
13,Sevilla,41.0,23.0,18.0,1.4210526315789473,1.105263157894737,1.4210526315789473,1.4210526315789473,1.7200103157894737,1.097549442105263,1.578693789473684,1.736363294736842,0.5199962439911177,0.3970361835618822,1.0,0.009096075566347707,0.5307368401118625
14,Celta_Vigo,41.0,24.0,17.0,1.105263157894737,1.3157894736842106,1.2105263157894737,1.7894736842105263,1.7528133684210527,1.2150881578947366,1.1490015263157891,2.0122437368421053,0.3663969103246518,0.5690713580656614,0.10040250214575118,0.09964956264596647,0.007255978833862946
15,Las_Palmas,40.0,24.0,16.0,1.0526315789473684,0.6842105263157895,1.0526315789473684,1.4210526315789473,1.1096847157894736,0.7757131052631578,1.3458248315789474,1.7979609473684208,0.3059250527446298,0.2293997835292939,0.29772223853234275,0.032227950062233196,0.10932484263550629
16,Mallorca,40.0,26.0,14.0,0.8947368421052632,0.8421052631578947,0.8421052631578947,1.4736842105263157,1.0204033684210527,1.1759341578947369,0.8536847368421052,1.649583842105263,0.08024558076774672,0.8558923512946488,0.07735060375605189,0.4803519028019495,0.0038498168214013257
17,Rayo_Vallecano,38.0,20.0,18.0,0.9473684210526315,0.5789473684210527,1.368421052631579,1.1578947368421053,1.3742444736842103,1.067918052631579,1.2257356315789474,1.1951550000000002,0.7801028154859174,0.186350705046307,0.655609314988308,0.2348723000374476,0.9128943227940671
18,Cadiz,33.0,24.0,9.0,0.8421052631578947,0.5263157894736842,1.0,1.894736842105263,1.0988690526315792,0.9000774736842105,0.8683981578947368,2.175492,0.01759100709578524,0.21347633442418665,0.042335544424153985,0.27550989199666087,3.3352220991332095e-05
19,Almeria,21.0,11.0,10.0,1.1578947368421053,1.105263157894737,1.894736842105263,2.0526315789473686,1.669240157894737,0.9568448789473685,1.668191736842105,2.113444578947368,0.8534483236547346,0.8916239943008756,0.7054422154864237,0.009800710081144817,0.10444813271984148
20,Granada,21.0,18.0,3.0,1.263157894736842,0.7368421052631579,1.6842105263157894,2.473684210526316,1.5072025789473684,0.7866529368421054,1.6067686842105262,2.0413203157894735,0.008472393434649322,0.1295864570415972,0.10882767564746348,0.013019612578572246,0.15225344748419922
