,id,side,result,goals_for,goals_against,xG_for,xG_against
0,13978,a,3,1,0,2.02214,0.739709
1,13987,h,0,0,2,0.511549,2.28529
2,14197,h,3,1,0,2.14867,0.324767
3,14210,a,0,1,4,0.772287,1.94396
4,14219,h,3,3,2,1.11753,2.36408
5,15806,a,0,1,6,0.943753,2.9145
6,15816,h,1,1,1,1.09118,1.16356
7,15832,a,3,2,1,1.20512,1.21675
8,15836,h,0,0,3,0.395203,2.78036
9,15850,a,3,5,1,2.03947,1.66648
10,15865,h,0,0,1,0.948811,1.12013
11,15867,a,3,3,1,2.62737,1.3761
12,15876,h,3,2,0,1.91353,0.33512
13,15893,a,1,0,0,0.751779,1.15801
14,15896,h,0,0,2,0.215122,0.510882
15,15911,a,1,1,1,0.942065,0.573136
16,15918,h,3,2,1,0.780388,1.49756
17,15926,a,3,2,1,0.413017,0.285307
18,15940,a,0,0,3,0.689403,2.30803
19,15946,h,0,0,1,0.937183,1.48664
20,15956,a,0,1,2,1.71363,1.1096
21,15966,h,3,3,1,1.59464,0.9424
22,15982,a,1,0,0,0.251964,0.556903
23,15988,a,0,0,3,0.620413,1.30901
24,15996,h,0,1,3,1.72075,1.75357
25,16015,a,1,0,0,0.325105,1.41894
26,16016,h,1,2,2,1.71598,1.0798
27,16030,a,3,1,0,1.0704,0.688591
28,16036,h,0,0,1,0.226499,0.872327
29,16052,a,1,0,0,0.757882,0.480151
30,16058,h,1,1,1,0.995445,1.75167
31,16068,a,0,0,3,1.02157,2.84942
32,16080,h,0,0,3,0.453458,1.4232
33,16095,h,0,0,1,0.100339,1.35311
34,16099,a,0,0,2,0.584175,2.41491
35,16106,h,3,3,0,1.71976,0.2674
36,16120,a,0,2,3,1.84288,2.93056
37,16126,h,0,1,2,0.736956,1.56192
