,id,side,result,goals_for,goals_against,xG_for,xG_against
0,13977,h,1,0,0,0.600075,0.187821
1,13987,a,3,2,0,2.28529,0.511549
2,14191,h,1,0,0,0.231132,1.79726
3,14205,a,0,1,2,0.359182,3.02331
4,14217,h,1,0,0,1.17944,0.645309
5,15811,h,3,3,0,1.50071,0.237758
6,15819,a,0,1,3,0.508148,0.977647
7,15826,h,3,2,0,1.92729,0.712337
8,15838,a,0,0,4,0.204669,3.9375
9,15848,h,0,0,2,0.474622,1.59436
10,15856,a,3,1,0,0.312448,1.95047
11,15874,a,1,2,2,1.13676,2.52961
12,15877,h,3,1,0,2.36548,0.170892
13,15888,a,0,1,2,0.804147,1.34583
14,15898,h,0,1,2,0.552558,2.18745
15,15913,a,3,2,0,1.30968,1.0111
16,15919,h,0,1,3,1.2121,1.30331
17,15930,a,1,0,0,0.667484,0.71749
18,15936,h,3,2,1,1.61234,1.06734
19,15954,a,3,3,0,3.61303,0.469882
20,15956,h,3,2,1,1.1096,1.71363
21,15970,a,0,1,2,0.73143,1.30049
22,15976,h,0,0,3,0.746258,1.99926
23,15991,a,0,1,2,0.635508,2.03597
24,15997,h,1,0,0,1.90455,0.41792
25,16012,a,0,0,2,0.791842,0.364183
26,16017,h,0,1,2,0.978537,1.84068
27,16026,h,0,0,1,0.80867,1.27822
28,16037,a,3,3,1,1.5005,0.969288
29,16048,a,0,1,3,1.39846,2.24117
30,16059,h,0,2,3,1.59289,2.28415
31,16074,a,0,1,4,1.52246,3.28299
32,16085,h,0,0,3,0.927302,1.87096
33,16086,a,0,1,4,0.690014,2.10336
34,16105,h,3,1,0,0.58893,0.752351
35,16110,a,0,0,3,0.721345,1.7162
36,16116,h,3,3,0,2.80699,1.12553
37,16132,a,3,2,1,1.23805,1.19819
