,id,side,result,goals_for,goals_against,xG_for,xG_against
0,13978,h,0,0,1,0.739709,2.02214
1,13990,a,0,1,4,0.215658,3.97148
2,14196,h,0,0,2,0.296281,2.19687
3,14208,a,0,0,1,0.487834,2.38097
4,14218,h,1,2,2,1.60909,2.31217
5,15811,a,0,0,3,0.237758,1.50071
6,15817,h,1,1,1,1.10593,0.769376
7,15831,a,0,0,4,1.49175,4.08894
8,15837,h,1,0,0,0.377123,1.14876
9,15851,a,1,1,1,2.43299,2.52379
10,15858,h,0,0,1,0.672083,1.28012
11,15873,a,3,3,1,0.980084,2.40463
12,15878,h,1,0,0,0.235832,0.675017
13,15891,a,1,1,1,1.02506,1.88182
14,15899,h,0,0,2,0.171789,1.10314
15,15907,h,0,0,1,1.17666,1.12699
16,15925,a,3,3,1,1.60068,0.958657
17,15932,a,1,0,0,0.125669,0.878332
18,15937,h,1,0,0,0.48883,1.80202
19,15957,h,1,1,1,0.802784,2.7928
20,15949,a,0,2,3,1.6704,0.895978
21,15967,a,0,0,1,0.370938,1.90817
22,15977,h,0,0,1,0.998017,2.26364
23,15986,a,0,2,4,1.31726,5.60551
24,15998,h,0,0,2,0.466986,1.90774
25,16007,a,0,1,2,0.88646,1.29752
26,16018,h,0,0,4,0.249652,2.12179
27,16027,a,0,1,3,0.716104,1.56287
28,16037,h,0,1,3,0.969288,1.5005
29,16051,h,0,0,1,0.792069,1.34244
30,16062,a,0,0,2,0.124818,1.53499
31,16070,a,0,0,3,0.683971,3.88289
32,16083,h,3,2,0,1.41735,0.718471
33,16091,a,0,1,5,1.03041,4.16691
34,16097,h,0,1,5,1.2483,1.83354
35,16106,a,0,0,3,0.2674,1.71976
36,16117,h,0,0,4,0.988436,2.57999
37,16134,a,3,1,0,1.38029,1.4605
