,id,side,result,goals_for,goals_against,xG_for,xG_against
0,13984,a,0,1,2,3.03614,0.180464
1,13989,h,3,1,0,1.71747,0.344198
2,14195,a,3,3,2,1.98746,0.919743
3,14205,h,3,2,1,3.02331,0.359182
4,14221,a,1,1,1,1.37195,0.370624
5,15807,h,3,2,0,2.13387,0.0932933
6,15818,a,0,0,4,0.254965,2.90262
7,15853,h,1,4,4,2.04125,1.02999
8,15858,a,3,1,0,1.28012,0.672083
9,15834,h,1,1,1,0.875771,2.16695
10,15867,h,0,1,3,1.3761,2.62737
11,15885,a,3,2,0,0.927878,0.503822
12,15887,h,0,2,3,1.38862,1.61719
13,15901,a,3,3,0,0.963125,0.928491
14,15910,a,0,0,2,1.14532,1.16038
15,15920,h,3,2,1,2.02607,1.17648
16,15928,a,0,2,3,0.947234,1.82314
17,15938,h,0,0,1,0.57533,1.57769
18,15953,a,1,1,1,1.35642,1.15976
19,15845,a,3,1,0,1.55004,0.118724
20,15958,h,0,0,1,1.18896,0.547266
21,15972,a,3,2,1,1.07049,1.03811
22,15978,h,1,2,2,1.53188,1.3201
23,15992,h,1,0,0,1.09008,0.549443
24,16004,a,1,1,1,3.15679,0.679141
25,16007,h,3,2,1,1.29752,0.88646
26,16016,a,1,2,2,1.0798,1.71598
27,16034,a,3,3,2,1.97268,1.73128
28,16038,h,1,2,2,2.37531,1.46077
29,16053,a,3,2,1,1.55355,2.11369
30,16060,h,1,1,1,0.672298,2.10812
31,16067,h,3,4,1,3.35961,1.94788
32,16084,a,1,1,1,1.06491,0.391745
33,16094,h,3,2,1,0.712516,1.45501
34,16104,a,0,1,2,1.51498,1.37764
35,16107,h,0,0,3,1.38117,1.24486
36,16116,a,0,0,3,1.12553,2.80699
37,16128,h,1,0,0,0.23839,1.308
