,id,side,result,goals_for,goals_against,xG_for,xG_against
0,13979,h,1,1,1,0.400974,1.29518
1,13993,a,3,1,0,0.906784,0.206627
2,14194,h,3,1,0,0.814528,0.736721
3,14213,a,1,1,1,1.49471,0.865098
4,14214,h,3,2,0,2.09387,0.660348
5,15813,a,3,3,0,1.95685,0.844783
6,15818,h,3,4,0,2.90262,0.254965
7,15830,a,1,1,1,0.890546,0.866315
8,15844,h,1,1,1,0.444747,0.421049
9,15852,a,0,2,3,2.97059,1.47256
10,15859,h,3,4,0,3.37221,0.462287
11,15875,a,1,1,1,0.391883,0.982356
12,15879,h,3,2,1,1.38745,0.669039
13,15888,h,3,2,1,1.34583,0.804147
14,15899,a,3,2,0,1.10314,0.171789
15,15915,h,1,0,0,0.394389,0.552443
16,15917,a,3,3,2,1.70435,1.19046
17,15926,h,0,1,2,0.285307,0.413017
18,15942,a,3,1,0,1.01419,0.34513
19,15948,h,3,2,1,1.37991,0.265034
20,15964,a,3,1,0,0.796039,0.550276
21,15967,h,3,1,0,1.90817,0.370938
22,15976,a,3,3,0,1.99926,0.746258
23,15987,a,3,2,0,1.7948,0.400333
24,15999,h,1,0,0,0.62514,0.0883755
25,16008,a,3,4,1,1.04668,0.231568
26,16019,h,1,1,1,0.866257,0.965368
27,16028,h,3,2,0,2.22985,0.0997889
28,16039,a,1,0,0,0.163714,0.614925
29,16050,h,0,1,2,0.787438,0.80422
30,16056,a,3,1,0,0.552797,1.05668
31,16069,a,3,2,0,0.555794,1.96214
32,16082,h,1,1,1,1.22671,0.914792
33,16087,a,3,3,2,1.87462,0.945519
34,16098,h,3,2,0,0.684625,0
35,16107,a,3,3,0,1.24486,1.38117
36,16118,h,1,0,0,0.900703,0.332146
37,16126,a,3,2,1,1.56192,0.736956
