,id,side,result,goals_for,goals_against,xG_for,xG_against
0,13988,a,3,3,2,1.32391,2.12594
1,14200,a,3,1,0,0.502817,2.22184
2,14203,h,0,0,2,2.65376,1.02937
3,14213,h,1,1,1,0.865098,1.49471
4,14216,h,1,1,1,0.864412,1.10713
5,15815,a,1,1,1,0.376941,3.14327
6,15819,h,3,3,1,0.977647,0.508148
7,15835,a,3,1,0,0.880426,0.846635
8,15847,a,3,1,0,0.0420124,0.324201
9,15871,h,3,3,1,2.7459,0.322283
10,15883,a,3,2,0,2.16881,0.384633
11,15890,h,3,2,1,1.52748,1.70771
12,15897,a,0,1,2,1.24235,1.16849
13,15909,h,1,1,1,1.50569,0.363146
14,15918,a,0,1,2,1.49756,0.780388
15,15929,h,3,3,1,2.52375,1.17896
16,15937,a,1,0,0,1.80202,0.48883
17,15951,h,0,1,2,2.16279,1.58781
18,15845,h,0,0,1,0.118724,1.55004
19,15960,a,0,1,3,0.462549,1.87551
20,15978,a,1,2,2,1.3201,1.53188
21,15995,h,0,0,2,0.426125,1.23049
22,15997,a,1,0,0,0.41792,1.90455
23,15860,h,3,3,2,0.648327,1.2083
24,16010,a,1,1,1,0.564279,0.779308
25,16025,h,1,1,1,1.35641,0.581809
26,16028,a,0,0,2,0.0997889,2.22985
27,15971,h,3,1,0,0.751259,0.596112
28,16040,h,3,3,1,1.72148,0.409173
29,16046,a,0,0,3,0.30434,2.7496
30,16062,h,3,2,0,1.53499,0.124818
31,16071,a,1,3,3,1.94159,2.15762
32,16081,h,3,3,2,2.44334,1.47384
33,16090,a,3,3,1,2.37375,0.704618
34,16100,h,1,1,1,1.13215,0.256318
35,16114,a,0,0,1,1.92834,1.41067
36,16120,h,3,3,2,2.93056,1.84288
37,16130,a,1,1,1,1.15022,1.08944
