,id,side,result,goals_for,goals_against,xG_for,xG_against
0,13991,h,0,0,1,0.626118,0.189291
1,14194,a,0,0,1,0.736721,0.814528
2,14202,a,0,0,1,0.980849,2.42357
3,14209,h,3,2,1,1.71276,1.18244
4,14216,a,1,1,1,1.10713,0.864412
5,15810,h,3,3,1,1.60054,0.853711
6,15816,a,1,1,1,1.16356,1.09118
7,15828,h,3,2,0,0.330896,0.631401
8,15840,a,3,1,0,0.859238,0.78372
9,15851,h,1,1,1,2.52379,2.43299
10,15863,a,1,1,1,1.30332,1.48835
11,15870,h,0,0,2,0.704986,1.32303
12,15880,h,0,1,3,1.2421,1.81122
13,15894,a,1,2,2,1.71894,0.788845
14,15902,a,3,2,0,1.63826,0.892487
15,15910,h,3,2,0,1.16038,1.14532
16,15923,a,0,0,1,0.83489,0.66303
17,15930,h,1,0,0,0.71749,0.667484
18,15939,h,1,1,1,1.25558,1.48081
19,15950,a,3,1,0,1.4255,1.6386
20,15959,h,3,2,0,0.833905,0.239963
21,15968,a,3,4,2,1.50555,1.8688
22,15979,h,1,1,1,0.902049,1.02749
23,15990,a,0,0,1,0.327429,0.560201
24,16001,h,0,1,2,1.46606,1.39672
25,16011,a,3,2,1,1.43338,1.04755
26,16017,a,3,2,1,1.84068,0.978537
27,16030,h,0,0,1,0.688591,1.0704
28,16038,a,1,2,2,1.46077,2.37531
29,16049,h,0,1,3,0.685567,2.26743
30,16063,a,0,0,4,0.356458,2.50003
31,16069,h,0,0,2,1.96214,0.555794
32,16076,a,1,0,0,0.838419,0.731927
33,16088,h,0,1,3,0.649808,2.70678
34,16097,a,3,5,1,1.83354,1.2483
35,16109,h,0,0,3,0.680563,2.07976
36,16119,a,0,1,2,0.0661912,1.42765
37,16130,h,1,1,1,1.08944,1.15022
