,id,side,result,goals_for,goals_against,xG_for,xG_against
0,13982,h,1,2,2,2.67622,1.83257
1,13991,a,3,1,0,0.189291,0.626118
2,14199,h,3,2,1,2.27042,1.10894
3,14206,a,0,1,2,0.816922,0.857476
4,14220,h,3,3,2,1.56306,1.40652
5,15812,a,0,0,1,1.53192,0.732353
6,15820,h,1,1,1,1.80187,0.109095
7,15827,a,0,1,4,1.89348,3.43243
8,15838,h,3,4,0,3.9375,0.204669
9,15849,a,3,2,1,1.87829,0.782745
10,15861,h,3,3,2,3.28236,2.01645
11,15869,h,3,3,0,3.43581,0.208733
12,15879,a,0,1,2,0.669039,1.38745
13,15890,a,0,1,2,1.70771,1.52748
14,15901,h,0,0,3,0.928491,0.963125
15,15907,a,3,1,0,1.12699,1.17666
16,15922,h,1,2,2,0.680448,1.97218
17,15927,a,3,5,2,2.81772,0.61232
18,15940,h,3,3,0,2.30803,0.689403
19,15952,a,3,3,2,2.88799,0.55197
20,15960,h,3,3,1,1.87551,0.462549
21,15973,a,3,2,1,1.52441,1.23932
22,15980,h,3,2,1,2.7347,0.426701
23,15989,a,3,4,3,1.24576,1.54024
24,16002,h,1,2,2,1.93864,1.43939
25,16013,a,3,2,0,1.05657,0.953831
26,16021,h,3,2,0,2.19231,0.429681
27,16035,a,0,0,1,0.729752,0.75132
28,16039,h,1,0,0,0.614925,0.163714
29,16054,a,3,4,0,2.43305,0.4503
30,16063,h,3,4,0,2.50003,0.356458
31,16070,h,3,3,0,3.88289,0.683971
32,16085,a,3,3,0,1.87096,0.927302
33,16095,a,3,1,0,1.35311,0.100339
34,16101,h,0,2,3,2.11913,0.840692
35,16112,a,3,1,0,1.05896,0.432365
36,16121,h,3,2,1,1.51214,0.318374
37,16128,a,1,0,0,1.308,0.23839
