,id,side,result,goals_for,goals_against,xG_for,xG_against
0,13977,a,1,0,0,0.187821,0.600075
1,13992,h,3,2,1,2.15547,0.874864
2,14199,a,0,1,2,1.10894,2.27042
3,14212,h,1,2,2,1.33579,1.03738
4,14214,a,0,0,2,0.660348,2.09387
5,15808,a,0,1,2,1.13528,1.9654
6,15821,h,3,3,1,1.90561,0.839348
7,15839,h,0,0,3,1.63127,2.72536
8,15854,a,3,2,0,1.46578,1.77629
9,15863,h,1,1,1,1.48835,1.30332
10,15834,a,1,1,1,2.16695,0.875771
11,15871,a,0,1,3,0.322283,2.7459
12,15882,h,0,0,4,0.633507,3.19753
13,15891,h,1,1,1,1.88182,1.02506
14,15905,a,0,2,3,2.08259,1.74124
15,15911,h,1,1,1,0.573136,0.942065
16,15921,a,0,0,3,1.10394,3.9821
17,15931,h,1,0,0,0.600663,0.490669
18,15941,a,1,1,1,1.31067,0.905512
19,15953,h,1,1,1,1.15976,1.35642
20,15959,a,0,0,2,0.239963,0.833905
21,15973,h,0,1,2,1.23932,1.52441
22,15984,a,1,1,1,1.25487,1.50363
23,15987,h,0,0,2,0.400333,1.7948
24,15996,a,3,3,1,1.75357,1.72075
25,16010,h,1,1,1,0.779308,0.564279
26,16022,a,1,1,1,1.48858,0.474343
27,16032,h,0,1,2,1.42636,0.618533
28,16044,a,3,2,1,1.15766,0.882924
29,16047,h,1,1,1,1.39056,0.85463
30,16064,h,0,1,2,1.36882,2.37312
31,16073,a,0,0,1,0.224608,0.733422
32,16079,h,0,1,2,1.21944,1.81278
33,16093,a,3,2,1,1.09277,1.39872
34,16096,a,3,4,1,2.61836,1.63517
35,16110,h,3,3,0,1.7162,0.721345
36,16117,a,3,4,0,2.57999,0.988436
37,16131,h,0,1,2,1.41119,1.70751
