,id,side,result,goals_for,goals_against,xG_for,xG_against
0,13985,h,3,4,0,2.14597,0.468011
1,13992,a,0,1,2,0.874864,2.15547
2,14198,h,0,2,4,1.00844,2.0941
3,14204,a,1,0,0,0.714832,1.62529
4,14221,h,1,1,1,0.370624,1.37195
5,15809,a,3,1,0,0.588829,0.686408
6,15822,h,0,0,4,0.138218,4.12316
7,15826,a,0,0,2,0.712337,1.92729
8,15840,h,0,0,1,0.78372,0.859238
9,15850,h,0,1,5,1.66648,2.03947
10,15864,a,3,1,0,0.955282,1.05404
11,15869,a,0,0,3,0.208733,3.43581
12,15883,h,0,0,2,0.384633,2.16881
13,15889,a,0,0,3,0.562896,2.82061
14,15903,h,0,0,2,0.994031,1.97897
15,15914,a,1,2,2,1.50557,2.94469
16,15925,h,0,1,3,0.958657,1.60068
17,15934,a,0,0,5,0.826798,4.64764
18,15942,h,0,0,1,0.34513,1.01419
19,15951,a,3,2,1,1.58781,2.16279
20,15966,a,0,1,3,0.9424,1.59464
21,15981,a,0,0,3,1.73501,1.69188
22,15989,h,0,3,4,1.54024,1.24576
23,15998,a,3,2,0,1.90774,0.466986
24,16012,h,3,2,0,0.364183,0.791842
25,15961,h,3,1,0,0.914735,0.3945
26,16022,h,1,1,1,0.474343,1.48858
27,16033,a,0,1,2,2.37864,1.50673
28,16045,h,1,1,1,1.83162,1.56372
29,16050,a,3,2,1,0.80422,0.787438
30,16065,h,0,0,2,1.56114,2.21045
31,16066,a,1,1,1,0.804029,1.98561
32,16078,h,1,1,1,1.63156,1.0454
33,16094,a,0,1,2,1.45501,0.712516
34,16103,h,1,2,2,2.42284,0.651471
35,16109,a,3,3,0,2.07976,0.680563
36,16124,h,0,2,5,0.854315,2.84141
37,16133,a,0,0,2,0.357583,1.33269
