,id,side,result,goals_for,goals_against,xG_for,xG_against
0,13995,h,3,2,0,1.39361,0.2149
1,14193,h,3,2,0,1.76107,1.30205
2,14203,a,3,2,0,1.02937,2.65376
3,14212,a,1,2,2,1.03738,1.33579
4,14215,h,0,0,3,0.200419,1.37167
5,15807,a,0,0,2,0.0932933,2.13387
6,15824,h,0,1,3,0.714171,2.52438
7,15828,a,0,0,2,0.631401,0.330896
8,15843,h,0,0,1,0.484542,0.937369
9,15855,a,0,1,2,1.46951,3.30537
10,15857,a,0,1,4,1.08804,1.06599
11,15875,h,1,1,1,0.982356,0.391883
12,15878,a,1,0,0,0.675017,0.235832
13,15893,h,1,0,0,1.15801,0.751779
14,15898,a,3,2,1,2.18745,0.552558
15,15914,h,1,2,2,2.94469,1.50557
16,15922,a,1,2,2,1.97218,0.680448
17,15933,h,1,1,1,1.29987,1.39496
18,15944,a,0,1,3,1.28905,1.70535
19,15955,a,0,0,1,1.25152,2.60986
20,15965,h,0,0,5,0.22255,2.19868
21,15974,a,3,1,0,1.58746,0.435831
22,15984,h,1,1,1,1.50363,1.25487
23,15990,h,3,1,0,0.560201,0.327429
24,16005,a,3,2,0,0.347155,0.797238
25,16014,h,1,1,1,1.97702,0.35467
26,16020,a,0,1,2,1.01869,0.858628
27,16034,h,0,2,3,1.73128,1.97268
28,16036,a,3,1,0,0.872327,0.226499
29,16054,h,0,0,4,0.4503,2.43305
30,16065,a,3,2,0,2.21045,1.56114
31,16074,h,3,4,1,3.28299,1.52246
32,16077,a,0,2,3,1.26569,2.04974
33,16092,h,0,1,2,1.12226,0.920463
34,16102,a,3,2,1,2.26191,1.01968
35,16114,h,3,1,0,1.41067,1.92834
36,16118,a,1,0,0,0.332146,0.900703
37,16134,h,0,0,1,1.4605,1.38029
