,id,side,result,goals_for,goals_against,xG_for,xG_against
0,13980,a,0,1,3,0.326826,3.07214
1,13996,h,0,0,2,0.227899,1.20894
2,14193,a,0,0,2,1.30205,1.76107
3,14208,h,3,1,0,2.38097,0.487834
4,14220,a,0,2,3,1.40652,1.56306
5,15813,h,0,0,3,0.844783,1.95685
6,15825,h,0,2,3,1.92587,4.16498
7,15833,a,3,3,0,1.29304,0.732823
8,15841,a,0,1,2,1.42258,0.911301
9,15847,h,0,0,1,0.324201,0.0420124
10,15862,a,0,3,4,3.39205,2.65546
11,15866,h,1,1,1,0.802873,1.99479
12,15882,a,3,4,0,3.19753,0.633507
13,15894,h,1,2,2,0.788845,1.71894
14,15896,a,3,2,0,0.510882,0.215122
15,15913,h,0,0,2,1.0111,1.30968
16,15924,a,0,0,4,0.417249,3.11615
17,15934,h,3,5,0,4.64764,0.826798
18,15938,a,3,1,0,1.57769,0.57533
19,15955,h,3,1,0,2.60986,1.25152
20,15957,a,1,1,1,2.7928,0.802784
21,15975,h,0,0,1,0.995057,1.31697
22,15985,h,1,2,2,0.610074,0.710748
23,15994,a,0,0,3,0.242033,1.59649
24,16001,a,3,2,1,1.39672,1.46606
25,16015,h,1,0,0,1.41894,0.325105
26,16019,a,1,1,1,0.965368,0.866257
27,16035,h,3,1,0,0.75132,0.729752
28,16042,a,0,0,1,0.58962,1.03121
29,16053,h,0,1,2,2.11369,1.55355
30,16059,a,3,3,2,2.28415,1.59289
31,16075,h,0,1,4,0.945852,2.1849
32,16078,a,1,1,1,1.0454,1.63156
33,16093,h,0,1,2,1.39872,1.09277
34,16100,a,1,1,1,0.256318,1.13215
35,16115,h,0,2,3,1.9728,0.716886
36,16123,a,3,2,0,2.26561,0.74817
37,16135,h,1,1,1,0.32396,0.521913
