position,team_title,points,points_h,points_a,goals_per90_h,goals_per90_a,against_per90_h,against_per90_a,xG_per90_h,xG_per90_a,xGa_per90_h,xGa_per90_a,points_pvalue,goals_for_pvalue,goals_against_pvalue,xG_for_pvalue,xG_against_pvalue
1,Lille,83.0,37.0,46.0,1.4736842105263157,1.894736842105263,0.5789473684210527,0.631578947368421,1.2658277894736842,1.264396157894737,0.5320978105263158,0.8195233157894737,0.19287157833829957,0.24026923676433337,0.8404943396228073,0.9955596402022586,0.03684852712346627
2,Paris_Saint_Germain,82.0,40.0,42.0,2.3157894736842106,2.210526315789474,0.7368421052631579,0.7368421052631579,2.340828052631579,2.0742447894736844,0.923922894736842,1.015600052631579,0.8045061764050647,0.8322689129611441,1.0,0.48242893483263205,0.657909942152406
3,Monaco,78.0,41.0,37.0,2.263157894736842,1.736842105263158,1.105263157894737,1.105263157894737,2.223920210526316,1.4789433684210525,0.8228007894736843,0.9642320526315791,0.6225155824907447,0.21462754191157854,1.0,0.010368976163872803,0.5256580396708761
4,Lyon,76.0,36.0,40.0,2.210526315789474,2.0526315789473686,1.2105263157894737,1.0526315789473684,2.492087,1.843359052631579,1.0377529473684208,0.9843034736842105,0.6047070644097916,0.7215889932132107,0.6299444870551741,0.08172476498604396,0.7734047079479559
5,Marseille,60.0,35.0,25.0,1.6842105263157894,1.1578947368421053,1.2105263157894737,1.263157894736842,1.5205206315789472,1.073669647368421,0.9775287894736842,1.4693301578947366,0.21183079636140364,0.14474791675527507,0.8571983980492227,0.09132899802539056,0.03905087016989748
6,Rennes,58.0,31.0,27.0,1.368421052631579,1.368421052631579,1.105263157894737,1.0,1.2704002105263157,1.1902746315789472,0.8532131052631579,1.0446015263157895,0.6322235654263675,1.0,0.6921669802779647,0.7360151864911173,0.2804329968088043
7,Lens,57.0,28.0,29.0,1.4736842105263157,1.4210526315789473,1.368421052631579,1.4736842105263157,1.5266065789473684,1.4399674736842107,1.2536974894736843,1.1891803684210527,0.901894301337028,0.8833258095200329,0.7784378805228929,0.7281273870645608,0.7935010163629345
8,Montpellier,54.0,25.0,29.0,1.7894736842105263,1.368421052631579,1.8421052631578947,1.4210526315789473,1.599073052631579,1.1518152105263155,1.8280005263157892,1.7099907368421052,0.620721494277812,0.26642137832415413,0.2436738531846464,0.1723453159511104,0.7370516123747852
9,Nice,52.0,24.0,28.0,1.3157894736842106,1.3157894736842106,1.5789473684210527,1.2105263157894737,1.2345474210526315,1.2058775789473686,1.7456061578947368,1.2114015789473684,0.6454791410448415,1.0,0.2989240268892158,0.9145280414723833,0.06350578911332569
10,Metz,47.0,20.0,27.0,1.0,1.3157894736842106,1.368421052631579,1.1578947368421053,1.0964612105263156,1.1279381684210528,1.274329157894737,1.2730014210526317,0.38325706401016424,0.405344462447639,0.5258956862014178,0.8576979314999801,0.9951640957273886
11,Saint-Etienne,46.0,21.0,25.0,1.0526315789473684,1.1578947368421053,1.5263157894736843,1.3157894736842106,1.2979020526315788,1.1905283842105263,1.299341736842105,1.2873254210526317,0.623697631982849,0.7306198972381536,0.6368055236757386,0.6584993603648357,0.9638301342314577
12,Bordeaux,45.0,25.0,20.0,1.0,1.2105263157894737,1.105263157894737,1.8421052631578947,1.2168144210526315,1.0752866842105266,1.220344105263158,1.6676962631578949,0.5617634138574847,0.5156068489730649,0.09792042689349806,0.5624074496688071,0.12096516882651191
13,Angers,44.0,21.0,23.0,1.0526315789473684,1.0526315789473684,1.4210526315789473,1.631578947368421,1.0169996315789476,1.083917,1.3091466315789473,1.4705298421052628,0.8104987889939668,1.0,0.6373334189552993,0.7510452096541204,0.5315565145172539
14,Strasbourg,42.0,17.0,25.0,1.105263157894737,1.4736842105263157,1.5263157894736843,1.5263157894736843,1.3733923157894736,1.404444,1.2692072842105264,1.3738702105263156,0.3210670512543025,0.3441968649807092,1.0,0.9259258122230258,0.7139214642813005
15,Reims,42.0,20.0,22.0,0.8421052631578947,1.368421052631579,1.105263157894737,1.5263157894736843,0.7941301578947368,0.9548356842105262,1.4715312105263159,1.78063052631579,0.7835477741597141,0.164053921268445,0.2509144710465042,0.5078148102356435,0.3593172323722065
16,Lorient,42.0,32.0,10.0,1.631578947368421,1.0,1.5263157894736843,2.0526315789473686,1.389910105263158,1.1445375263157898,1.0827635368421051,1.679285052631579,0.004121785069322726,0.07445894905904527,0.2158185739523779,0.34313407983342725,0.07383177795818696
17,Brest,41.0,28.0,13.0,1.6842105263157894,0.9473684210526315,1.736842105263158,1.736842105263158,1.4506176315789474,0.9583738684210527,1.4342935263157894,1.619146947368421,0.06068790940686572,0.03145622802898094,1.0,0.030604684649146736,0.5125708684305083
18,Nantes,40.0,17.0,23.0,1.105263157894737,1.368421052631579,1.5263157894736843,1.368421052631579,1.2798372105263156,1.260788052631579,1.3559696315789473,1.5330462105263158,0.4186362302577642,0.45868525307299346,0.6151822204835944,0.9265297299425306,0.5050695572018487
19,Nimes,35.0,14.0,21.0,1.1578947368421053,0.9473684210526315,2.0526315789473686,1.6842105263157894,1.0732041578947369,1.1053864736842107,1.5764058947368422,1.8010047894736843,0.3663969103246515,0.5288001703938542,0.4595454688999998,0.877918854200532,0.4915421100584798
20,Dijon,21.0,9.0,12.0,0.42105263157894735,0.8947368421052632,1.631578947368421,2.210526315789474,0.779274157894737,0.8971333684210526,1.657763894736842,2.3486540526315793,0.6151822204835944,0.09695708737820861,0.23206015521627515,0.5056728549690189,0.051697795899287496
