,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23378,h,3,3,2,2.91934,0.960002
1,23387,a,3,2,1,1.60466,0.866995
2,23392,a,0,0,2,1.72801,3.50896
3,23406,h,1,0,0,1.58468,0.248338
4,23414,a,3,2,1,1.56067,1.97443
5,23424,h,3,1,0,2.54509,0.254128
6,23430,a,1,0,0,0.153004,1.03293
7,23442,h,1,1,1,1.61363,1.23903
8,23447,a,0,0,1,0.625269,2.19168
9,23460,h,0,2,3,1.68226,2.09847
10,23466,a,0,0,2,0.73688,1.11674
11,23487,a,3,3,1,2.38593,2.19901
12,23496,h,3,3,0,1.30229,0.605084
13,23478,h,1,1,1,0.993441,1.26839
14,23504,a,3,1,0,0.219846,0.632144
15,23512,a,3,2,0,1.8065,1.38959
16,23523,h,3,4,0,1.59135,0.456656
17,23532,h,3,2,0,4.34723,0.462585
18,23533,a,1,2,2,1.07348,1.89797
19,23550,h,1,0,0,0.875796,0.67289
20,23557,a,1,1,1,1.35687,1.19719
21,23568,h,3,1,0,1.79901,0.49619
22,23577,a,3,3,0,1.75632,0.147244
23,23586,h,3,1,0,1.2486,0.427329
24,23593,a,0,0,1,0.522507,0.751467
25,23604,h,1,1,1,1.4278,0.845861
26,23607,a,3,1,0,0.429902,1.41137
27,23622,h,3,4,3,4.51637,2.08036
28,23628,a,0,3,4,1.7183,1.8478
29,23640,h,0,0,2,0.640964,1.30681
30,23643,a,3,5,4,2.18698,2.34207
31,23658,h,1,0,0,0.621067,1.33601
32,23667,h,1,1,1,1.34751,0.432216
33,23676,a,3,3,0,1.02904,0.984204
