,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23375,h,0,2,4,1.97981,3.40428
1,23385,a,0,0,2,0.399613,2.41479
2,23395,h,0,0,1,0.540615,0.791472
3,23398,a,1,2,2,1.40431,0.64111
4,23413,h,0,0,1,1.26417,0.866302
5,23421,a,0,1,2,0.716065,1.01727
6,23431,h,1,0,0,1.16006,2.99118
7,23448,a,3,2,1,1.28994,1.73586
8,23455,h,0,0,1,0.298709,2.15871
9,23462,a,1,0,0,1.05162,1.55966
10,23472,h,3,1,0,1.40549,0.58473
11,23485,h,0,0,3,1.84299,2.53223
12,23441,a,1,1,1,0.548696,2.5147
13,23496,a,0,0,3,0.605084,1.30229
14,23503,h,1,0,0,1.1121,0.635418
15,23507,a,0,1,2,0.131252,2.62654
16,23520,h,0,1,3,0.75621,2.31736
17,23529,a,3,2,1,1.22157,1.63891
18,23539,h,1,1,1,1.53045,1.31652
19,23545,a,0,0,4,0.81129,2.44237
20,23557,h,1,1,1,1.19719,1.35687
21,23561,a,0,1,3,0.755433,4.27182
22,23573,a,1,0,0,2.46292,1.97032
23,23582,h,0,1,5,0.737192,3.06861
24,23595,a,0,0,1,0.624762,1.82804
25,23599,h,3,2,1,1.17889,1.13876
26,23611,h,0,0,3,0.897271,2.30312
27,23614,a,1,1,1,0.28144,2.57381
28,23629,h,1,1,1,1.36904,1.71417
29,23637,a,0,0,1,0.617299,2.80705
30,23647,h,3,4,1,2.56811,0.875188
31,23651,a,0,1,4,1.01532,3.44513
32,23664,h,0,0,1,1.17651,0.389723
33,23674,a,0,0,5,0.737223,4.92005
