,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23376,a,1,2,2,1.24958,1.2977
1,23387,h,0,1,2,0.866995,1.60466
2,23391,a,1,2,2,0.41475,3.49731
3,23404,h,3,3,0,1.70033,0.675614
4,23412,a,1,0,0,1.25165,1.83314
5,23421,h,3,2,1,1.01727,0.716065
6,23433,h,0,0,2,1.05835,1.38688
7,23436,a,0,0,3,0.131369,3.00689
8,23451,h,1,0,0,1.84471,1.96292
9,23458,a,1,0,0,0.890469,0.469858
10,23463,a,3,2,1,1.21056,2.31734
11,23475,h,1,0,0,1.12627,0.968375
12,23486,a,1,0,0,0.225701,1.75264
13,23495,h,0,0,2,1.85535,1.76208
14,23498,a,0,1,2,1.62211,1.50877
15,23513,h,3,3,1,1.92557,1.64135
16,23521,a,0,0,1,0.459561,1.4252
17,23530,h,3,3,1,1.47292,0.873358
18,23536,a,1,3,3,1.35726,1.63382
19,23544,a,1,1,1,0.149171,1.48516
20,23559,h,0,0,1,1.37399,1.18673
21,23563,a,0,0,3,0.29674,4.23306
22,23571,h,0,1,2,1.71847,3.16987
23,23586,a,0,0,1,0.427329,1.2486
24,23594,h,3,1,0,1.2502,0.212288
25,23599,a,0,1,2,1.13876,1.17889
26,23612,h,0,0,2,0.690722,1.81849
27,23619,a,1,1,1,1.54783,1.03136
28,23630,h,0,0,1,1.6031,0.756172
29,23639,h,0,0,1,0.649411,1.50162
30,23641,a,1,3,3,1.21268,2.25829
31,23656,h,3,3,1,2.56306,0.631836
32,23663,a,0,0,1,0.427788,1.93635
33,23670,h,0,1,2,2.32336,2.32131
