,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23379,a,1,0,0,0.136269,1.36166
1,23381,h,1,1,1,0.750785,2.42649
2,23393,h,3,4,1,1.745,1.45127
3,23404,a,0,0,3,0.675614,1.70033
4,23411,h,1,2,2,0.660724,1.54062
5,23420,a,0,3,5,1.59675,2.52906
6,23428,h,0,0,3,0.799881,2.77044
7,23437,a,1,3,3,1.07853,1.3787
8,23445,h,3,2,1,0.594654,0.940774
9,23456,a,0,0,1,0.412238,0.981549
10,23465,h,1,0,0,0.521851,0.707799
11,23472,a,0,0,1,0.58473,1.40549
12,23482,h,0,2,3,1.37412,1.85366
13,23488,a,1,1,1,0.645774,1.10351
14,23500,h,0,2,4,2.01809,2.88724
15,23508,h,0,1,2,1.17121,1.76122
16,23523,a,0,0,4,0.456656,1.59135
17,23527,a,0,0,3,0.122714,3.05553
18,23536,h,1,3,3,1.63382,1.35726
19,23549,a,3,2,1,1.37239,0.822983
20,23554,h,3,2,0,2.29027,1.17008
21,23560,a,3,3,1,2.13729,1.71908
22,23574,h,0,0,1,0.620869,0.331772
23,23578,a,3,2,1,1.94566,1.48788
24,23590,h,0,0,2,0.279234,2.37921
25,23598,a,1,2,2,0.75287,3.43264
26,23607,h,0,0,1,1.41137,0.429902
27,23621,a,0,0,2,1.74832,2.68931
28,23635,a,0,0,3,0.561667,2.51301
29,23624,h,0,1,4,1.03633,1.97814
30,23645,h,0,1,2,1.3574,2.23471
31,23655,a,0,0,2,0.459806,2.30235
32,23662,a,0,1,3,1.0861,3.96907
33,23674,h,3,5,0,4.92005,0.737223
