,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23373,a,0,1,2,2.05387,1.16184
1,23384,h,0,1,4,0.641589,1.91808
2,23394,a,1,0,0,0.25547,1.82327
3,23401,h,0,1,4,2.44259,4.91949
4,23412,h,1,0,0,1.83314,1.25165
5,23424,a,0,0,1,0.254128,2.54509
6,23432,a,0,0,2,0.389915,1.99596
7,23437,h,1,3,3,1.3787,1.07853
8,23448,h,0,1,2,1.73586,1.28994
9,23467,h,1,1,1,1.8478,0.667193
10,23470,a,3,1,0,2.07974,0.680277
11,23483,h,0,0,2,1.71151,1.7068
12,23493,a,0,2,3,3.02776,2.66019
13,23453,a,0,0,3,0.235651,1.82709
14,23501,h,3,3,0,3.13849,1.6021
15,23509,a,3,1,0,0.739288,1.40268
16,23518,h,3,1,0,2.1113,0.351645
17,23530,a,0,1,3,0.873358,1.47292
18,23537,h,0,2,3,0.96504,1.37472
19,23546,h,3,1,0,1.92161,0.511356
20,23556,a,3,2,1,1.29775,1.78103
21,23564,h,3,1,0,0.801467,0.685452
22,23570,a,3,2,1,1.25668,1.76992
23,23581,h,0,0,3,2.13225,3.35268
24,23590,a,3,2,0,2.37921,0.279234
25,23597,a,3,3,2,1.49785,2.0594
26,23609,h,1,1,1,2.12533,1.48533
27,23620,a,3,3,1,2.90994,1.10318
28,23628,h,3,4,3,1.8478,1.7183
29,23632,a,0,1,4,0.667233,3.09132
30,23646,h,3,3,2,2.6414,2.04607
31,23652,a,3,4,3,2.42982,1.12451
32,23664,a,3,1,0,0.389723,1.17651
33,23671,h,3,2,1,3.26691,1.12544
