,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23376,h,1,2,2,1.2977,1.24958
1,23384,a,3,4,1,1.91808,0.641589
2,23397,h,0,1,3,1.42165,1.8496
3,23400,a,0,0,1,0.793407,1.33906
4,23408,a,1,2,2,1.03603,2.27232
5,23423,h,1,0,0,1.38233,0.933593
6,23428,a,3,3,0,2.77044,0.799881
7,23450,a,0,0,2,0.495893,1.74936
8,23459,h,3,3,0,3.2823,0.877804
9,23461,a,0,0,3,0.583754,1.23178
10,23477,h,1,0,0,0.651349,0.62039
11,23487,h,0,1,3,2.19901,2.38593
12,23441,h,1,1,1,2.5147,0.548696
13,23490,a,0,0,2,1.18556,2.46013
14,23505,h,1,0,0,1.34889,1.61301
15,23514,a,3,1,0,0.766157,0.850081
16,23522,h,1,1,1,1.51091,1.20263
17,23532,a,0,0,2,0.462585,4.34723
18,23541,h,1,0,0,1.37722,0.622726
19,23543,a,0,1,2,0.797935,2.21096
20,23556,h,0,1,2,1.78103,1.29775
21,23567,h,3,3,0,3.04692,0.929361
22,23575,a,0,1,4,1.09554,2.91179
23,23585,h,1,2,2,1.55397,1.61588
24,23592,a,3,2,1,1.66988,1.51018
25,23603,h,0,2,6,2.51778,2.24298
26,23612,a,3,2,0,1.81849,0.690722
27,23621,h,3,2,0,2.68931,1.74832
28,23629,a,1,1,1,1.71417,1.36904
29,23636,a,3,2,1,1.35565,1.31942
30,23649,h,1,1,1,0.679578,1.70799
31,23650,a,3,2,1,0.660372,1.98611
32,23666,h,0,0,2,1.12952,2.31591
33,23669,a,1,2,2,1.11518,5.38555
