,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23377,h,1,1,1,1.12141,1.53437
1,23381,a,1,1,1,2.42649,0.750785
2,23394,h,1,0,0,1.82327,0.25547
3,23402,h,3,2,0,2.28809,0.158524
4,23407,a,3,3,2,1.94985,1.21929
5,23417,a,3,1,0,1.10143,1.80137
6,23430,h,1,0,0,1.03293,0.153004
7,23440,a,3,1,0,1.51523,0.263633
8,23449,h,3,1,0,0.828728,1.00304
9,23455,a,3,1,0,2.15871,0.298709
10,23468,h,3,2,0,2.28618,0.484764
11,23477,a,1,0,0,0.62039,0.651349
12,23484,h,3,1,0,1.00133,1.27183
13,23494,a,0,0,1,1.2317,1.18224
14,23502,h,3,2,1,1.2751,1.13313
15,23513,a,0,1,3,1.64135,1.92557
16,23519,h,3,2,0,2.95792,0.539445
17,23524,a,0,0,2,0.805568,1.82506
18,23538,h,3,1,0,1.97472,0.119776
19,23550,a,1,0,0,0.67289,0.875796
20,23555,h,0,2,3,2.16459,2.06475
21,23564,a,0,0,1,0.685452,0.801467
22,23573,h,1,0,0,1.97032,2.46292
23,23579,a,0,1,2,1.91177,1.50074
24,23592,h,0,1,2,1.51018,1.66988
25,23601,a,3,3,1,1.80693,1.36305
26,23610,h,0,1,2,1.21101,1.79381
27,23618,a,1,0,0,1.92153,0.537635
28,23635,h,3,3,0,2.51301,0.561667
29,23623,a,1,2,2,1.28789,1.77662
30,23642,a,3,3,1,1.89803,1.04231
31,23663,h,3,1,0,1.93635,0.427788
32,23653,h,0,1,2,1.95517,1.44503
33,23673,a,1,2,2,1.32909,1.59935
