,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23379,h,1,0,0,1.36166,0.136269
1,23380,a,1,1,1,2.00415,1.15991
2,23389,h,3,3,1,1.86713,0.487094
3,23401,a,3,4,1,4.91949,2.44259
4,23407,h,0,2,3,1.21929,1.94985
5,23416,h,3,4,0,2.00222,0.568702
6,23431,a,1,0,0,2.99118,1.16006
7,23435,a,3,3,1,3.13091,1.34436
8,23443,h,3,3,0,2.51872,0.224242
9,23460,a,3,3,2,2.09847,1.68226
10,23461,h,3,3,0,1.23178,0.583754
11,23473,a,3,3,0,2.64035,1.54396
12,23479,h,3,5,2,2.61317,1.52014
13,23495,a,3,2,0,1.76208,1.85535
14,23497,h,3,2,1,2.15633,0.483837
15,23510,a,1,1,1,1.39323,1.90778
16,23515,h,3,3,1,2.18199,0.149111
17,23528,a,3,2,0,1.80377,2.68223
18,23533,h,1,2,2,1.89797,1.07348
19,23542,a,3,2,1,1.90654,2.57864
20,23551,h,3,3,1,2.43098,1.48271
21,23566,a,3,2,0,1.71895,2.13627
22,23569,h,1,1,1,1.88699,0.982428
23,23580,a,1,0,0,1.84721,2.44196
24,23587,h,1,2,2,1.53515,1.51893
25,23603,a,3,6,2,2.24298,2.51778
26,23606,a,3,2,0,1.73967,1.02584
27,23614,h,1,1,1,2.57381,0.28144
28,23632,h,3,4,1,3.09132,0.667233
29,23624,a,3,4,1,1.97814,1.03633
30,23641,h,1,3,3,2.25829,1.21268
31,23659,h,0,1,3,1.50414,1.71089
32,23653,a,3,2,1,1.44503,1.95517
33,23668,a,3,2,0,2.92879,1.20722
