,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23372,a,0,1,2,0.993374,1.5127
1,23385,h,3,2,0,2.41479,0.399613
2,23397,a,3,3,1,1.8496,1.42165
3,23405,a,1,2,2,0.859494,1.14763
4,23414,h,0,1,2,1.97443,1.56067
5,23418,a,3,2,1,1.21818,1.41766
6,23432,h,3,2,0,1.99596,0.389915
7,23438,h,0,1,3,1.99785,1.74741
8,23444,a,1,1,1,0.96583,0.900833
9,23456,h,3,1,0,0.981549,0.412238
10,23469,a,3,1,0,1.7428,1.54695
11,23473,h,0,0,3,1.54396,2.64035
12,23481,a,0,1,3,2.24931,1.93506
13,23492,h,3,2,1,1.93212,1.82995
14,23502,a,0,1,2,1.13313,1.2751
15,23511,a,0,0,2,0.876139,1.26773
16,23521,h,3,1,0,1.4252,0.459561
17,23526,a,3,3,1,1.91585,1.02592
18,23540,h,1,0,0,1.21383,1.40977
19,23547,h,0,2,3,2.02418,1.74173
20,23554,a,0,0,2,1.17008,2.29027
21,23565,h,1,1,1,1.04087,1.45983
22,23571,a,3,2,1,3.16987,1.71847
23,23583,h,0,0,1,0.533658,1.08259
24,23587,a,1,2,2,1.51893,1.53515
25,23600,h,3,2,1,1.57996,1.12407
26,23609,a,1,1,1,1.48533,2.12533
27,23618,h,1,0,0,0.537635,1.92153
28,23625,a,0,1,3,0.739073,2.30507
29,23636,h,0,1,2,1.31942,1.35565
30,23647,a,0,1,4,0.875188,2.56811
31,23667,a,1,1,1,0.432216,1.34751
32,23654,h,3,1,0,0.879349,1.81257
33,23672,h,3,2,1,1.39024,1.25648
