,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23371,h,3,5,1,4.67967,0.561838
1,23386,a,1,1,1,1.62597,1.3445
2,23391,h,1,2,2,3.49731,0.41475
3,23406,a,1,0,0,0.248338,1.58468
4,23409,h,1,2,2,0.427673,1.60903
5,23423,a,1,0,0,0.933593,1.38233
6,23426,h,3,3,1,2.3169,0.902963
7,23435,h,0,1,3,1.34436,3.13091
8,23445,a,0,1,2,0.940774,0.594654
9,23452,h,1,1,1,1.11025,1.02122
10,23468,a,0,0,2,0.484764,2.28618
11,23470,h,0,0,1,0.680277,2.07974
12,23481,h,3,3,1,1.93506,2.24931
13,23489,a,0,0,2,0.483795,0.91395
14,23499,h,0,1,2,2.14616,1.09728
15,23506,a,1,0,0,1.08165,0.686037
16,23520,a,3,3,1,2.31736,0.75621
17,23524,h,3,2,0,1.82506,0.805568
18,23537,a,3,3,2,1.37472,0.96504
19,23543,h,3,2,1,2.21096,0.797935
20,23559,a,3,1,0,1.18673,1.37399
21,23561,h,3,3,1,4.27182,0.755433
22,23569,a,1,1,1,0.982428,1.88699
23,23578,h,0,1,2,1.48788,1.94566
24,23591,a,1,2,2,1.21123,2.4764
25,23596,h,3,2,0,1.59209,0.740416
26,23605,a,0,0,2,0.913264,2.45769
27,23616,a,0,0,1,1.6645,1.60487
28,23627,h,0,1,2,0.877819,0.783871
29,23638,a,3,3,0,2.38163,0.159376
30,23643,h,0,4,5,2.34207,2.18698
31,23657,a,3,3,2,2.01818,0.829235
32,23661,h,1,1,1,2.1522,0.410537
33,23672,a,0,1,2,1.25648,1.39024
