,id,side,result,goals_for,goals_against,xG_for,xG_against
0,23374,a,3,2,1,2.06035,1.07028
1,23380,h,1,1,1,1.15991,2.00415
2,23390,a,0,0,2,0.308716,2.84995
3,23398,h,1,2,2,0.64111,1.40431
4,23410,a,1,0,0,0.882315,1.16853
5,23419,a,0,1,2,0.649363,3.08782
6,23427,h,3,3,0,2.3397,0.598514
7,23442,a,1,1,1,1.23903,1.61363
8,23444,h,1,1,1,0.900833,0.96583
9,23459,a,0,0,3,0.877804,3.2823
10,23463,h,0,1,2,2.31734,1.21056
11,23471,a,1,1,1,0.41683,2.6899
12,23484,a,0,0,1,1.27183,1.00133
13,23488,h,1,1,1,1.10351,0.645774
14,23501,a,0,0,3,1.6021,3.13849
15,23506,h,1,0,0,0.686037,1.08165
16,23517,h,0,1,2,1.58928,2.26628
17,23531,a,3,1,0,0.952191,0.558992
18,23534,h,0,0,2,2.4207,1.17066
19,23547,a,3,3,2,1.74173,2.02418
20,23552,h,0,1,2,0.893343,0.497993
21,23562,a,3,2,1,1.57778,1.69534
22,23576,h,3,3,1,1.95824,0.599376
23,23579,h,3,2,1,1.50074,1.91177
24,23594,a,0,0,1,0.212288,1.2502
25,23597,h,0,2,3,2.0594,1.49785
26,23611,a,3,3,0,2.30312,0.897271
27,23615,h,1,0,0,0.825103,0.582127
28,23627,a,3,2,1,0.783871,0.877819
29,23633,h,1,2,2,0.654707,1.06509
30,23645,a,3,2,1,2.23471,1.3574
31,23650,h,0,1,2,1.98611,0.660372
32,23659,a,3,3,1,1.71089,1.50414
33,23676,h,0,0,3,0.984204,1.02904
