,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14122,h,3,2,0,2.94224,0.825483
1,14130,a,3,2,0,2.43073,0.107055
2,15454,h,3,3,0,2.64977,0.152433
3,15457,a,3,2,1,2.06232,2.54683
4,15473,h,1,3,3,2.81817,2.35903
5,15484,a,3,2,1,1.02378,0.956217
6,15492,h,1,2,2,3.65495,2.20988
7,15500,a,3,3,1,1.83664,1.8847
8,15512,h,3,2,0,2.85768,0.602734
9,15522,a,3,2,1,2.66831,0.986547
10,15532,h,1,2,2,1.8515,0.603434
11,15538,a,1,2,2,2.05417,1.22979
12,15554,a,3,2,1,1.41457,1.04718
13,15559,h,3,3,2,1.88103,1.45797
14,15567,a,3,2,0,1.53692,2.34965
15,15581,h,0,1,3,1.02584,2.3569
16,15590,h,3,2,0,1.58807,0.372133
17,15598,a,3,2,0,1.69958,1.1919
18,15611,h,0,0,3,1.74436,2.39517
19,15619,a,3,2,1,3.3292,1.3455
20,15628,h,3,4,0,3.26629,0.483519
21,15642,a,0,0,2,0.522191,1.33279
22,15648,h,0,0,3,0.707265,2.95518
23,15663,a,3,2,1,3.2493,1.198
24,15672,h,1,1,1,1.31277,0.772446
25,15682,a,3,2,0,1.02359,1.12134
26,15690,h,0,0,1,1.48364,1.34959
27,15701,a,3,3,2,1.83261,0.445056
28,15712,h,1,1,1,0.96551,1.01539
29,15722,a,3,3,1,1.0074,1.7023
30,15728,h,3,2,1,1.21528,1.31309
31,15744,h,0,1,2,1.11244,2.13785
32,15749,a,0,0,3,1.83,2.28486
33,15757,h,3,2,0,3.44683,0.742758
34,15771,a,3,3,0,1.22848,1.10288
35,15780,a,3,7,0,4.30596,0.86194
36,15788,h,1,0,0,1.40469,0.425678
37,15801,a,3,2,0,2.06325,0.61287
