,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14123,a,3,4,2,2.47087,0.773914
1,14135,a,3,4,1,1.89667,1.80375
2,15450,h,3,5,2,3.60777,0.655559
3,15456,a,0,1,4,0.640405,1.17201
4,15466,h,0,1,3,2.09742,2.49916
5,15477,a,3,2,1,3.49595,0.524608
6,15486,h,1,1,1,0.955473,0.815144
7,15503,a,1,0,0,2.20038,0.594898
8,15506,h,0,0,2,1.20139,1.78911
9,15526,h,3,3,0,2.8038,0.461794
10,15540,a,1,1,1,0.902039,2.71039
11,15546,h,3,4,1,1.91426,0.712758
12,15556,a,1,2,2,1.89381,1.08799
13,15566,h,3,5,1,3.50279,0.499119
14,15576,h,3,3,0,2.38532,0.0467904
15,15586,a,3,4,1,4.0811,0.945676
16,15596,h,1,0,0,2.08328,0.905971
17,15524,a,1,1,1,1.28447,0.418061
18,15611,a,3,3,0,2.39517,1.74436
19,15618,h,0,1,3,1.18024,2.39061
20,15634,h,1,3,3,2.05759,2.80114
21,15636,a,3,1,0,0.966776,0.203346
22,15649,h,3,4,2,2.68448,0.624734
23,15656,a,3,2,0,1.37431,0.459133
24,15675,h,3,5,1,3.83419,0.599388
25,15676,a,0,0,1,0.676989,0.181511
26,15693,h,3,3,1,2.01267,1.24595
27,15696,a,3,2,0,2.06793,0.145024
28,15714,h,3,3,2,2.63099,0.738068
29,15716,a,3,3,2,3.07955,1.28762
30,15730,h,3,1,0,0.979557,0.795659
31,15736,a,1,1,1,2.39045,1.11253
32,15746,h,3,5,0,4.45853,0.901726
33,15756,a,1,1,1,1.94826,1.26321
34,15766,a,3,5,2,3.16517,1.05585
35,15776,h,3,2,0,1.79069,0.183599
36,15786,a,3,4,3,2.28339,1.7247
37,15801,h,0,0,2,0.61287,2.06325
