,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14125,a,3,3,2,1.27481,1.36058
1,14133,h,0,2,5,1.2507,4.53244
2,15451,h,3,1,0,0.8907,1.82239
3,15464,a,0,2,5,1.55972,4.18819
4,15467,h,0,1,2,0.650046,2.26936
5,15485,a,0,1,3,1.60386,2.51742
6,15487,h,0,0,3,0.251291,1.45194
7,15497,a,3,1,0,0.565303,1.21172
8,15507,h,1,1,1,0.439998,1.64625
9,15520,a,1,0,0,0.340508,0.501198
10,15534,a,0,0,1,2.09826,1.08927
11,15536,h,1,1,1,1.43093,0.416738
12,15547,h,3,2,0,1.55436,0.245022
13,15564,a,3,2,0,0.338064,2.4683
14,15567,h,0,0,2,2.34965,1.53692
15,15578,a,3,2,1,1.23401,1.16751
16,15586,h,0,1,4,0.945676,4.0811
17,15599,a,0,1,4,2.46021,1.49503
18,15606,h,1,2,2,1.60271,1.4463
19,15624,a,0,0,4,0,1.65732
20,15632,h,1,1,1,0.949104,1.70084
21,15637,a,1,1,1,0.80004,1.91922
22,15650,h,1,0,0,0.24834,0.917367
23,15657,a,0,0,2,0.430179,2.34858
24,15673,h,0,0,3,0.345715,1.81493
25,15677,a,1,1,1,0.319654,1.68194
26,15687,h,0,1,4,1.543,2.26928
27,15704,a,3,1,0,0.247326,2.31196
28,15710,h,1,2,2,1.38823,1.2091
29,15724,h,0,0,1,0.392283,1.28252
30,15726,a,0,3,5,1.40017,3.64262
31,15737,a,1,2,2,1.03972,1.28057
32,15754,h,0,2,4,2.51862,1.34953
33,15757,a,0,0,2,0.742758,3.44683
34,15768,h,0,1,3,1.11891,1.94848
35,15776,a,0,0,2,0.183599,1.79069
36,15789,h,1,1,1,1.7951,1.10271
37,15796,a,1,1,1,0.349447,1.35452
