,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14122,a,0,0,2,0.825483,2.94224
1,14132,h,3,4,1,2.04715,1.2448
2,15451,a,0,0,1,1.82239,0.8907
3,15460,h,0,3,4,1.45422,3.23668
4,15472,a,0,1,2,1.75593,1.42977
5,15476,h,3,3,2,1.46614,1.26683
6,15488,h,0,0,1,0.729048,1.40583
7,15502,a,3,2,1,1.73409,0.817944
8,15508,h,3,1,0,1.80058,0.401219
9,15518,a,0,1,3,1.1214,1.98287
10,15527,h,0,1,5,0.354826,4.03543
11,15543,a,1,2,2,1.61165,2.66532
12,15555,a,1,1,1,2.17731,1.10564
13,15556,h,1,2,2,1.08799,1.89381
14,15569,a,1,0,0,0.633738,0.352245
15,15577,h,1,2,2,1.30678,1.70449
16,15588,a,0,0,2,1.03548,1.0511
17,15597,h,3,1,0,2.59435,0.695086
18,15609,a,0,0,2,0.43025,3.5214
19,15619,h,0,1,2,1.3455,3.3292
20,15626,a,3,3,0,1.45085,0.787202
21,15637,h,1,1,1,1.91922,0.80004
22,15646,a,1,1,1,0.547118,1.75431
23,15662,h,3,2,0,1.30451,2.4983
24,15674,a,0,0,1,0.572194,0.918475
25,15678,a,0,1,3,0.770095,1.22462
26,15692,h,3,3,1,2.26652,1.56796
27,15697,a,3,3,2,3.85076,1.94617
28,15708,h,0,0,1,1.26861,2.12357
29,15717,a,0,0,1,2.0125,1.3735
30,15733,h,3,4,1,3.12881,0.532614
31,15745,h,1,1,1,0.327911,1.85996
32,15746,a,0,0,5,0.901726,4.45853
33,15759,h,1,3,3,1.93952,2.01163
34,15767,a,1,1,1,2.52775,0.488745
35,15778,h,0,0,2,2.30788,1.65544
36,15787,a,1,2,2,2.04284,1.98719
37,15799,h,0,1,4,1.06031,3.63043
