,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14120,a,1,1,1,0.95973,2.0285
1,14124,h,0,0,2,0.91566,1.99417
2,15450,a,0,2,5,0.655559,3.60777
3,15462,a,3,3,2,1.79136,1.24172
4,15468,h,3,4,2,2.08322,1.40714
5,15476,a,0,2,3,1.26683,1.46614
6,15489,h,3,2,0,1.89967,0.134345
7,15499,a,0,0,2,0.0831584,2.54799
8,15509,h,1,2,2,1.44548,2.7383
9,15525,a,1,1,1,1.67924,3.02671
10,15528,h,0,1,3,1.61081,2.74594
11,15541,a,1,0,0,0.265316,0.870374
12,15548,h,1,1,1,0.628497,1.43641
13,15561,a,0,2,3,1.19646,3.36165
14,15568,h,0,1,4,0.860583,5.2489
15,15578,h,0,1,2,1.16751,1.23401
16,15587,a,0,0,1,1.25523,1.90744
17,15598,h,0,0,2,1.1919,1.69958
18,15608,a,0,0,1,1.27481,2.49498
19,15621,h,1,1,1,0.879547,1.89569
20,15627,a,0,0,1,1.23787,1.0166
21,15636,h,0,0,1,0.203346,0.966776
22,15653,h,0,0,1,0.804795,1.16138
23,15658,a,3,2,0,1.47542,0.859768
24,15674,h,3,1,0,0.918475,0.572194
25,15679,a,1,2,2,0.979884,0.52749
26,15689,h,0,1,3,0.656951,2.33997
27,15698,a,0,1,2,2.95218,1.03827
28,15715,h,0,0,2,1.24308,1.30136
29,15718,a,0,0,1,0.242059,1.25573
30,15731,h,3,4,3,2.36238,1.6174
31,15738,a,3,1,0,1.37919,0.764035
32,15751,h,3,3,2,1.26292,1.58437
33,15758,a,1,1,1,1.88547,2.9066
34,15768,a,3,3,1,1.94848,1.11891
35,15777,h,1,0,0,0.346121,0.10611
36,15788,a,1,0,0,0.425678,1.40469
37,15798,h,0,0,1,2.16617,1.63375
