,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14119,a,0,1,4,1.32278,2.23283
1,14130,h,0,0,2,0.107055,2.43073
2,15447,a,0,1,4,1.5945,1.85563
3,15459,h,1,1,1,1.39522,1.58494
4,15468,a,0,2,4,1.40714,2.08322
5,15477,h,0,1,2,0.524608,3.49595
6,15495,a,1,0,0,0.300792,0.235946
7,15496,h,0,0,2,0.432377,1.79345
8,15508,a,0,0,1,0.401219,1.80058
9,15516,h,0,0,4,0.508882,1.93801
10,15529,h,3,4,1,1.69279,0.824038
11,15544,a,1,0,0,0.123143,1.10391
12,15553,a,0,1,3,1.04297,2.48022
13,15557,h,3,2,1,0.7999,1.50226
14,15571,a,0,2,6,1.85185,2.4614
15,15579,h,0,1,3,0.498045,1.89996
16,15595,a,0,1,2,0.832994,1.29189
17,15599,h,3,4,1,1.49503,2.46021
18,15607,a,0,1,2,0.611551,1.03932
19,15616,h,0,0,3,0.63775,1.25048
20,15628,a,0,0,4,0.483519,3.26629
21,15644,h,0,1,2,0.737979,2.7814
22,15647,a,0,0,3,0.654355,4.42058
23,15658,h,0,0,2,0.859768,1.47542
24,15675,a,0,1,5,0.599388,3.83419
25,15685,h,3,4,2,2.60234,1.97011
26,15686,a,0,2,3,1.38008,2.70511
27,15697,h,0,2,3,1.94617,3.85076
28,15706,a,0,3,4,1.17165,3.45014
29,15719,a,0,2,3,1.43962,1.39234
30,15734,h,0,1,2,1.56852,0.827427
31,15743,h,0,0,1,0.688921,2.0374
32,15747,a,3,4,3,2.71958,2.13448
33,15761,h,0,0,2,0.759966,2.34169
34,15769,a,0,0,5,0.285602,2.34234
35,15785,h,3,2,1,0.646392,0.622067
36,15789,a,1,1,1,1.10271,1.7951
37,15797,h,1,0,0,2.41313,0.470867
