,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14116,h,3,1,0,2.35462,0.617878
1,14126,a,0,3,4,2.25332,1.69563
2,15446,h,0,1,2,2.02799,2.18148
3,15461,a,1,2,2,1.08362,0.925627
4,15469,h,3,3,2,1.20434,2.6861
5,15480,a,0,0,2,0.37308,3.6279
6,15493,a,1,0,0,0.814627,0.131692
7,15497,h,0,0,1,1.21172,0.565303
8,15512,a,0,0,2,0.602734,2.85768
9,15517,h,1,1,1,2.79212,1.37691
10,15526,a,0,0,3,0.461794,2.8038
11,15537,h,1,1,1,1.71835,1.7103
12,15549,h,1,1,1,1.68253,1.24682
13,15558,a,3,3,0,1.53117,0.388088
14,15569,h,1,0,0,0.352245,0.633738
15,15580,a,0,1,2,1.77283,1.91891
16,15587,h,3,1,0,1.90744,1.25523
17,15602,a,0,0,6,1.1403,2.24139
18,15607,h,3,2,1,1.03932,0.611551
19,15625,a,1,1,1,1.48381,2.16367
20,15629,h,0,0,2,0.54225,2.48145
21,15638,a,0,1,2,1.28041,1.37373
22,15652,h,3,3,0,2.08276,0.854682
23,15659,a,0,0,1,0.393598,1.00916
24,15668,h,0,1,2,0.44021,1.38176
25,15683,h,1,3,3,1.2552,2.66766
26,15687,a,3,4,1,2.26928,1.543
27,15701,h,0,2,3,0.445056,1.83261
28,15707,a,1,1,1,0.905325,1.18401
29,15716,h,0,2,3,1.28762,3.07955
30,15727,a,0,1,3,0.777004,2.27601
31,15739,a,3,2,1,1.14388,1.9565
32,15748,h,1,1,1,1.21138,1.15603
33,15759,a,1,3,3,2.01163,1.93952
34,15770,h,3,2,0,1.42543,0.980945
35,15777,a,1,0,0,0.10611,0.346121
36,15792,h,0,0,2,0.344483,1.90774
37,15797,a,1,0,0,0.470867,2.41313
