,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14119,h,3,4,1,2.23283,1.32278
1,14128,a,0,0,6,0.265594,2.34102
2,15465,a,1,0,0,0.38231,0.88144
3,15470,h,0,0,2,0.0128508,1.63844
4,15481,a,1,1,1,1.18373,0.858208
5,15448,h,0,1,2,1.18572,0.444269
6,15490,h,0,1,3,0.64745,3.49225
7,15504,a,0,0,1,0.731116,0.413067
8,15510,h,0,1,2,1.58372,1.40499
9,15517,a,1,1,1,1.37691,2.79212
10,15530,h,0,1,3,0.484378,3.60091
11,15538,h,1,2,2,1.22979,2.05417
12,15547,a,0,0,2,0.245022,1.55436
13,15563,a,3,2,1,1.24789,0.530442
14,15570,h,1,1,1,1.14509,1.34628
15,15584,a,0,1,2,1.04966,2.26
16,15588,h,3,2,0,1.0511,1.03548
17,15596,a,1,0,0,0.905971,2.08328
18,15608,h,3,1,0,2.49498,1.27481
19,15616,a,3,3,0,1.25048,0.63775
20,15630,h,3,2,1,1.09369,2.09283
21,15639,a,1,0,0,0.209162,0.406879
22,15655,h,1,2,2,0.942869,1.17826
23,15660,a,0,0,3,0.104998,2.85565
24,15669,h,1,1,1,0.282448,0.554452
25,15680,a,0,0,1,0.22588,1.11292
26,15694,h,1,1,1,1.64784,1.91532
27,15699,a,3,2,1,0.896292,2.09686
28,15707,h,1,1,1,1.18401,0.905325
29,15720,a,0,1,3,1.47493,2.82825
30,15728,a,0,1,2,1.31309,1.21528
31,15737,h,1,2,2,1.28057,1.03972
32,15753,h,3,2,0,2.46449,0.932413
33,15760,a,0,3,4,1.12186,2.90489
34,15774,h,0,1,2,0.749499,1.91968
35,15778,a,3,2,0,1.65544,2.30788
36,15786,h,0,3,4,1.7247,2.28339
37,15798,a,3,1,0,1.63375,2.16617
