,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14121,h,3,3,0,2.14288,0.606523
1,14131,a,1,2,2,1.90728,2.81817
2,15459,a,1,1,1,1.58494,1.39522
3,15471,h,1,1,1,2.17723,0.599908
4,15482,a,3,4,1,2.88171,0.546346
5,15491,a,1,1,1,1.27201,1.07713
6,15499,h,3,2,0,2.54799,0.0831584
7,15507,a,1,1,1,1.64625,0.439998
8,15519,h,3,2,1,2.52836,1.34238
9,15530,a,3,3,1,3.60091,0.484378
10,15540,h,1,1,1,2.71039,0.902039
11,15552,a,3,4,0,2.80045,0.926619
12,15558,h,0,0,3,0.388088,1.53117
13,15572,h,3,4,1,3.54071,1.75781
14,15581,a,3,3,1,2.3569,1.02584
15,15589,h,3,3,1,3.03948,0.542444
16,15600,a,0,0,2,0.368127,1.73238
17,15609,h,3,2,0,3.5214,0.43025
18,15617,a,3,2,0,1.63913,0.240857
19,15631,h,3,2,0,0.251055,0.652535
20,15640,a,0,0,1,2.01493,1.05643
21,15647,h,3,3,0,4.42058,0.654355
22,15661,a,1,1,1,1.22214,0.7004
23,15670,h,3,3,0,2.61694,1.26299
24,15681,h,3,3,1,1.44911,0.876141
25,15689,a,3,3,1,2.33997,0.656951
26,15704,h,0,0,1,2.31196,0.247326
27,15709,a,1,2,2,3.29698,1.15909
28,15455,h,3,2,1,1.61051,1.36435
29,15720,h,3,3,1,2.82825,1.47493
30,15730,a,0,0,1,0.795659,0.979557
31,15742,h,3,3,1,2.49694,1.3096
32,15748,a,1,1,1,1.15603,1.21138
33,15762,a,3,2,1,2.79425,0.372087
34,15771,h,0,0,3,1.10288,1.22848
35,15779,a,3,3,1,1.36904,2.23729
36,15790,h,3,3,2,3.16532,1.34382
37,15799,a,3,4,1,3.63043,1.06031
