,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14124,a,3,2,0,1.99417,0.91566
1,14135,h,0,1,4,1.80375,1.89667
2,15452,h,1,1,1,1.20722,0.719092
3,15458,a,0,0,3,0.454609,1.83414
4,15472,h,3,2,1,1.42977,1.75593
5,15483,a,3,4,3,1.75598,2.4688
6,15491,h,1,1,1,1.07713,1.27201
7,15496,a,3,2,0,1.79345,0.432377
8,15511,h,0,1,3,1.22788,1.42863
9,15523,a,3,2,1,0.437896,1.7297
10,15531,h,0,1,2,0.647828,0.955041
11,15536,a,1,1,1,0.416738,1.43093
12,15551,h,3,2,0,0.701577,0.982563
13,15559,a,0,2,3,1.45797,1.88103
14,15570,a,1,1,1,1.34628,1.14509
15,15580,h,3,2,1,1.91891,1.77283
16,15591,a,3,2,0,3.416,0.38214
17,15601,h,3,3,0,0.941571,0.639638
18,15610,h,3,2,1,2.00707,0.657277
19,15618,a,3,3,1,2.39061,1.18024
20,15627,h,3,1,0,1.0166,1.23787
21,15641,a,0,1,3,0.975673,2.41606
22,15651,h,3,1,0,1.36887,1.27226
23,15662,a,0,0,2,2.4983,1.30451
24,15681,a,0,1,3,0.876141,1.44911
25,15686,h,3,3,2,2.70511,1.38008
26,15700,a,3,1,0,1.51277,1.92074
27,15713,h,3,2,1,2.36513,0.938101
28,15721,a,3,1,0,0.457956,0.215489
29,15726,h,3,5,3,3.64262,1.40017
30,15741,a,0,2,5,1.43947,1.59439
31,15749,h,3,3,0,2.28486,1.83
32,15760,h,3,4,3,2.90489,1.12186
33,15770,a,0,0,2,0.980945,1.42543
34,15781,h,3,1,0,1.35561,0.569751
35,15791,a,0,0,2,0.765258,1.03543
36,15671,h,1,0,0,2.14691,0.280579
37,15800,a,0,0,2,0.974681,1.9712
