,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14118,h,0,0,2,0.160985,1.54079
1,14132,a,0,1,4,1.2448,2.04715
2,15453,h,3,1,0,1.23442,0.633776
3,15463,a,0,2,3,0.96514,1.71631
4,15474,h,1,2,2,3.67014,0.965076
5,15478,a,1,2,2,0.760875,3.0518
6,15493,h,1,0,0,0.131692,0.814627
7,15501,a,0,0,3,0.0318982,3.20915
8,15510,a,3,2,1,1.40499,1.58372
9,15520,h,1,0,0,0.501198,0.340508
10,15532,a,1,2,2,0.603434,1.8515
11,15541,h,1,0,0,0.870374,0.265316
12,15552,h,0,0,4,0.926619,2.80045
13,15557,a,0,1,2,1.50226,0.7999
14,15573,h,0,0,3,0.846876,1.67327
15,15576,a,0,0,3,0.0467904,2.38532
16,15591,h,0,0,2,0.38214,3.416
17,15604,a,1,1,1,0.698377,1.81397
18,15612,h,0,0,2,1.05418,2.1892
19,15620,a,0,0,2,0.540369,1.05768
20,15626,h,0,0,3,0.787202,1.45085
21,15643,a,0,1,2,1.28195,1.25993
22,15654,h,1,2,2,2.71894,1.34636
23,15664,a,1,2,2,1.22437,1.50261
24,15666,h,0,1,2,0.807935,3.45928
25,15683,a,1,3,3,2.66766,1.2552
26,15691,h,3,2,0,2.09688,1.6811
27,15699,h,0,1,2,2.09686,0.896292
28,15710,a,1,2,2,1.2091,1.38823
29,15722,h,0,1,3,1.7023,1.0074
30,15731,a,0,3,4,1.6174,2.36238
31,15742,a,0,1,3,1.3096,2.49694
32,15747,h,0,3,4,2.13448,2.71958
33,15763,a,0,0,1,0.402756,1.35363
34,15766,h,0,2,5,1.05585,3.16517
35,15781,a,0,0,1,0.569751,1.35561
36,15794,h,0,1,3,0.998801,2.48538
37,15802,a,0,0,3,0.720234,1.34869
