,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14117,a,1,0,0,1.77959,0.910773
1,14131,h,1,2,2,2.81817,1.90728
2,15449,a,3,1,0,0.762958,1.66689
3,15464,h,3,5,2,4.18819,1.55972
4,15473,a,1,3,3,2.35903,2.81817
5,15480,h,3,2,0,3.6279,0.37308
6,15490,a,3,3,1,3.49225,0.64745
7,15501,h,3,3,0,3.20915,0.0318982
8,15513,a,0,0,4,0.314633,2.05867
9,15521,h,1,0,0,1.27993,0.209882
10,15527,a,3,5,1,4.03543,0.354826
11,15542,h,3,3,1,3.04581,0.975058
12,15546,a,0,1,4,0.712758,1.91426
13,15561,h,3,3,2,3.36165,1.19646
14,15574,h,3,1,0,2.40692,0.229603
15,15579,a,3,3,1,1.89996,0.498045
16,15592,h,1,2,2,0.904251,1.9311
17,15601,a,0,0,3,0.639638,0.941571
18,15613,h,3,4,3,2.59451,1.46005
19,15623,h,3,3,1,2.18476,0.728479
20,15631,a,0,0,2,0.652535,0.251055
21,15645,h,3,3,0,2.98143,0.310308
22,15650,a,1,0,0,0.917367,0.24834
23,15663,h,0,1,2,1.198,3.2493
24,15668,a,3,2,1,1.38176,0.44021
25,15680,h,3,1,0,1.11292,0.22588
26,15691,a,0,0,2,1.6811,2.09688
27,15702,h,0,0,2,0.733296,1.07404
28,15711,a,1,2,2,1.55499,3.38116
29,15717,h,3,1,0,1.3735,2.0125
30,15732,a,0,1,3,1.507,3.37014
31,15736,h,1,1,1,1.11253,2.39045
32,15751,a,0,2,3,1.58437,1.26292
33,15764,a,0,0,2,1.63837,1.37262
34,15769,h,3,5,0,2.34234,0.285602
35,15782,a,0,1,3,0.961595,2.30537
36,15791,h,3,2,0,1.03543,0.765258
37,15803,a,1,2,2,2.72274,2.87459
