,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14121,a,0,0,3,0.606523,2.14288
1,14125,h,0,2,3,1.36058,1.27481
2,15446,a,3,2,1,2.18148,2.02799
3,15458,h,3,3,0,1.83414,0.454609
4,15466,a,3,3,1,2.49916,2.09742
5,15481,h,1,1,1,0.858208,1.18373
6,15489,a,0,0,2,0.134345,1.89967
7,15502,h,0,1,2,0.817944,1.73409
8,15515,a,1,2,2,1.38058,1.63863
9,15522,h,0,1,2,0.986547,2.66831
10,15533,a,0,1,2,0.713804,1.51835
11,15545,a,3,2,1,0.779474,1.49333
12,15553,h,3,3,1,2.48022,1.04297
13,15562,h,0,2,3,1.6455,2.16381
14,15574,a,0,0,1,0.229603,2.40692
15,15583,h,3,2,1,1.3375,2.49173
16,15593,a,0,1,2,0.433748,1.71534
17,15603,h,3,2,1,1.50541,2.78281
18,15612,a,3,2,0,2.1892,1.05418
19,15617,h,0,0,2,0.240857,1.63913
20,15632,a,1,1,1,1.70084,0.949104
21,15638,h,3,2,1,1.37373,1.28041
22,15651,a,0,0,1,1.27226,1.36887
23,15656,h,0,0,2,0.459133,1.37431
24,15669,a,1,1,1,0.554452,0.282448
25,15679,h,1,2,2,0.52749,0.979884
26,15692,a,0,1,3,1.56796,2.26652
27,15705,h,3,1,0,0.774348,0.739358
28,15712,a,1,1,1,1.01539,0.96551
29,15723,h,0,0,2,0.904896,1.89882
30,15735,h,3,3,1,1.94443,1.31995
31,15743,a,3,1,0,2.0374,0.688921
32,15752,a,0,0,1,0.986504,1.66072
33,15764,h,3,2,0,1.37262,1.63837
34,15773,a,0,1,5,1.4093,1.95771
35,15783,h,1,2,2,1.83643,2.7592
36,15793,a,3,1,0,1.40036,0.344524
37,15802,h,3,3,0,1.34869,0.720234
