,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14127,h,0,1,4,1.29116,2.6497
1,14134,a,3,2,0,0.812849,1.86648
2,15454,a,0,0,3,0.152433,2.64977
3,15461,h,1,2,2,0.925627,1.08362
4,15474,a,1,2,2,0.965076,3.67014
5,15482,h,0,1,4,0.546346,2.88171
6,15487,a,3,3,0,1.45194,0.251291
7,15503,h,1,0,0,0.594898,2.20038
8,15509,a,1,2,2,2.7383,1.44548
9,15523,h,0,1,2,1.7297,0.437896
10,15529,a,0,1,4,0.824038,1.69279
11,15543,h,1,2,2,2.66532,1.61165
12,15550,a,0,1,2,0.779401,1.26331
13,15563,h,0,1,2,0.530442,1.24789
14,15575,h,0,0,1,0.450318,1.5461
15,15582,a,3,2,1,1.92698,4.01311
16,15593,h,3,2,1,1.71534,0.433748
17,15605,a,1,0,0,0.310945,0.994528
18,15613,a,0,3,4,1.46005,2.59451
19,15622,h,0,0,1,0.816035,1.20302
20,15633,a,3,2,1,1.65222,0.974042
21,15642,h,3,2,0,1.33279,0.522191
22,15652,a,0,0,3,0.854682,2.08276
23,15664,h,1,2,2,1.50261,1.22437
24,15670,a,0,0,3,1.26299,2.61694
25,15677,h,1,1,1,1.68194,0.319654
26,15693,a,0,1,3,1.24595,2.01267
27,15698,h,3,2,1,1.03827,2.95218
28,15713,a,0,1,2,0.938101,2.36513
29,15719,h,3,3,2,1.39234,1.43962
30,15733,a,0,1,4,0.532614,3.12881
31,15740,h,1,1,1,0.0315577,2.88353
32,15753,a,0,0,2,0.932413,2.46449
33,15765,a,1,1,1,1.17641,2.04122
34,15772,h,0,1,4,1.27161,2.32097
35,15783,a,1,2,2,2.7592,1.83643
36,15795,h,3,4,1,2.73126,0.940601
37,15803,h,1,2,2,2.87459,2.72274
