,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14129,a,0,0,1,2.14756,1.35384
1,14134,h,0,0,2,1.86648,0.812849
2,15449,h,0,0,1,1.66689,0.762958
3,15463,h,3,3,2,1.71631,0.96514
4,15469,a,0,2,3,2.6861,1.20434
5,15484,h,0,1,2,0.956217,1.02378
6,15494,a,1,0,0,0.0917939,0.0834694
7,15504,h,3,1,0,0.413067,0.731116
8,15511,a,3,3,1,1.42863,1.22788
9,15535,a,3,3,2,1.47406,1.07631
10,15544,h,1,0,0,1.10391,0.123143
11,15548,a,1,1,1,1.43641,0.628497
12,15564,h,0,0,2,2.4683,0.338064
13,15572,a,0,1,4,1.75781,3.54071
14,15577,a,1,2,2,1.70449,1.30678
15,15594,h,0,1,2,2.22446,1.7625
16,15603,a,0,1,2,2.78281,1.50541
17,15524,h,1,1,1,0.418061,1.28447
18,15614,h,1,0,0,0.210828,0.725987
19,15622,a,3,1,0,1.20302,0.816035
20,15635,h,3,2,0,2.21674,0.324304
21,15645,a,0,0,3,0.310308,2.98143
22,15654,a,1,2,2,1.34636,2.71894
23,15659,h,3,1,0,1.00916,0.393598
24,15672,a,1,1,1,0.772446,1.31277
25,15684,h,3,2,0,1.7241,0.944927
26,15694,a,1,1,1,1.91532,1.64784
27,15700,h,0,0,1,1.92074,1.51277
28,15714,a,0,2,3,0.738068,2.63099
29,15725,h,0,0,1,1.03189,1.53854
30,15734,a,3,2,1,0.827427,1.56852
31,15738,h,0,0,1,0.764035,1.37919
32,15754,a,3,4,2,1.34953,2.51862
33,15762,h,0,1,2,0.372087,2.79425
34,15767,h,1,1,1,0.488745,2.52775
35,15784,a,0,1,5,0.186833,3.38173
36,15793,h,0,0,1,0.344524,1.40036
37,15804,a,0,1,5,1.16043,3.52785
