,id,side,result,goals_for,goals_against,xG_for,xG_against
0,14117,h,1,0,0,0.910773,1.77959
1,14129,h,3,1,0,1.35384,2.14756
2,15453,a,0,0,1,0.633776,1.23442
3,15465,h,1,0,0,0.88144,0.38231
4,15471,a,1,1,1,0.599908,2.17723
5,15485,h,3,3,1,2.51742,1.60386
6,15492,a,1,2,2,2.20988,3.65495
7,15505,h,0,0,2,1.3932,0.51
8,15506,a,3,2,0,1.78911,1.20139
9,15525,h,1,1,1,3.02671,1.67924
10,15531,a,3,2,1,0.955041,0.647828
11,15545,h,0,1,2,1.49333,0.779474
12,15549,a,1,1,1,1.24682,1.68253
13,15565,h,0,1,2,1.23629,2.0312
14,15575,a,3,1,0,1.5461,0.450318
15,15585,a,1,1,1,0.299538,1.36437
16,15595,h,3,2,1,1.29189,0.832994
17,15597,a,0,0,1,0.695086,2.59435
18,15615,h,3,3,1,2.35109,0.903544
19,15623,a,0,1,3,0.728479,2.18476
20,15635,a,0,0,2,0.324304,2.21674
21,15643,h,3,2,1,1.25993,1.28195
22,15655,a,1,2,2,1.17826,0.942869
23,15661,h,1,1,1,0.7004,1.22214
24,15673,a,3,3,0,1.81493,0.345715
25,15682,h,0,0,2,1.12134,1.02359
26,15695,a,0,2,3,1.47961,1.56376
27,15696,h,0,0,2,0.145024,2.06793
28,15715,a,3,2,0,1.30136,1.24308
29,15721,h,0,0,1,0.215489,0.457956
30,15735,a,0,1,3,1.31995,1.94443
31,15739,h,0,1,2,1.9565,1.14388
32,15755,a,0,0,1,1.06135,0.85992
33,15765,h,1,1,1,2.04122,1.17641
34,15775,h,1,1,1,1.76249,0.858971
35,15785,a,0,1,2,0.622067,0.646392
36,15787,h,1,2,2,1.98719,2.04284
37,15805,a,1,1,1,0.51703,1.57132
