,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22305,h,0,0,1,0.844727,0.690842
1,22316,a,0,0,2,1.13824,2.0469
2,22333,h,0,0,2,0.304187,3.04937
3,22342,a,0,0,7,0.166755,2.49292
4,22347,h,0,0,1,0.330665,1.63518
5,22356,h,3,1,0,2.29107,0.477434
6,22366,a,0,0,3,1.04905,3.28867
7,22376,h,1,0,0,1.00116,1.23968
8,22389,a,3,2,0,1.79488,0.764401
9,22400,h,0,0,3,0.271851,2.19175
10,22411,a,0,1,2,1.87117,0.80376
11,22422,a,3,1,0,0.38859,1.06052
12,22429,h,0,3,4,1.47716,2.97603
13,22439,a,1,1,1,0.753276,0.832928
14,22447,h,1,1,1,1.8919,0.985028
15,22461,a,0,0,1,0.28927,2.11343
16,22465,h,0,0,2,0.659249,1.95383
17,22476,a,1,0,0,0.222516,1.4357
18,22486,h,0,0,3,0.945682,1.51431
19,22503,a,0,1,2,0.720625,1.25066
20,22506,h,3,3,0,1.78103,0.868813
21,22517,a,1,1,1,0.696403,0.990773
22,22530,h,1,0,0,0.58479,0.577479
23,22541,a,3,3,1,2.14988,0.799924
24,22553,h,1,1,1,0.945067,0.920295
25,22561,a,3,3,2,2.52542,1.60152
26,22570,h,0,0,1,1.50581,0.428646
27,22579,a,0,0,1,0.419598,0.988992
28,22591,h,0,0,1,0.868895,2.30568
29,22599,a,0,0,2,0.560443,2.03375
30,22609,h,3,3,2,0.487874,2.5343
31,22617,a,0,0,1,0.136102,3.15126
32,22626,h,3,1,0,1.25351,0.891755
33,22644,a,0,0,2,0.593896,2.13088
34,22646,h,1,0,0,0.318217,0.947755
35,22664,a,0,0,2,1.10282,1.61078
36,22670,a,1,1,1,0.82957,1.66873
37,22677,h,3,2,1,2.88989,1.45583
