,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22306,h,0,1,3,0.871157,1.31464
1,22315,h,3,2,1,0.760807,1.44199
2,22327,a,1,0,0,2.41709,2.07837
3,22339,h,3,4,2,2.97022,1.93433
4,22350,a,1,1,1,0.98737,0.834621
5,22364,h,1,1,1,0.976021,1.45269
6,22369,a,0,0,2,0.791935,0.830718
7,22377,h,3,2,1,1.91977,0.506291
8,22386,a,0,1,2,1.42786,1.63336
9,22395,a,0,3,4,1.29593,4.07472
10,22411,h,3,2,1,0.80376,1.87117
11,22424,a,0,0,2,0.58612,3.2782
12,22428,h,3,2,1,0.990501,1.82552
13,22440,a,0,1,3,0.728766,1.01016
14,22448,h,1,0,0,1.50797,1.06355
15,22462,a,0,1,2,1.84133,0.729342
16,22466,h,0,1,2,0.495508,1.27523
17,22483,a,0,1,3,1.13132,1.74892
18,22487,h,0,2,3,1.14998,1.45289
19,22495,a,0,0,5,0.434507,4.91726
20,22508,h,3,3,1,2.9278,0.599249
21,22516,a,1,1,1,1.66579,2.29871
22,22531,h,0,2,3,1.0672,2.01173
23,22537,a,0,1,5,1.2861,3.17846
24,22552,h,0,0,3,1.62402,1.81853
25,22562,a,0,2,3,0.570671,1.74414
26,22566,h,1,1,1,1.53511,1.29494
27,22580,a,0,0,1,1.38509,0.596618
28,22586,h,0,2,3,1.90054,3.30539
29,22602,a,1,1,1,1.00689,1.65796
30,22614,h,1,0,0,0.568316,2.46415
31,22618,a,1,2,2,2.31434,2.7326
32,22632,a,1,0,0,0.57895,0.520991
33,22640,h,3,3,0,1.75172,1.03098
34,22646,a,1,0,0,0.947755,0.318217
35,22657,h,0,0,5,1.88809,2.05666
36,22671,a,3,1,0,2.22694,1.24886
37,22678,h,0,0,1,0.869244,0.895463
