,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22307,h,3,2,0,2.49549,0.581247
1,22324,a,3,2,0,1.25423,0.484344
2,22332,h,3,4,0,5.21474,0.346607
3,22336,h,3,5,1,2.95417,0.989611
4,22347,a,3,1,0,1.63518,0.330665
5,22358,h,0,1,2,1.02458,1.02404
6,22372,a,3,4,0,2.5554,0.620122
7,22383,h,1,2,2,0.705274,1.04766
8,22390,a,3,3,0,2.44253,0.596799
9,22397,h,3,1,0,2.25314,0.495306
10,22405,a,3,2,1,1.39642,1.36089
11,22424,h,3,2,0,3.2782,0.58612
12,22432,a,1,1,1,0.692636,0.488914
13,22442,a,3,3,0,2.58503,0.787314
14,22450,h,3,4,0,3.34151,0.847308
15,22463,a,3,2,0,1.69409,1.63799
16,22467,h,3,2,0,3.28691,1.1279
17,22478,a,1,1,1,1.8593,0.410279
18,22491,h,3,2,1,2.12311,1.36479
19,22504,a,3,5,1,4.72502,1.07372
20,22522,a,3,1,0,0.617311,1.89212
21,22532,h,3,1,0,1.64254,0.597312
22,22544,a,3,4,2,1.24183,1.00864
23,22550,h,3,4,0,4.48759,0.0464174
24,22563,a,3,4,0,3.07379,0.928229
25,22507,h,3,4,0,2.91852,0.258264
26,22572,h,3,2,1,2.90423,1.17046
27,22575,a,3,1,0,0.81996,0.668681
28,22587,h,1,1,1,1.37916,1.36148
29,22599,h,3,2,0,2.03375,0.560443
30,22607,a,3,2,1,3.41188,0.0699579
31,22616,h,1,2,2,1.95072,1.10904
32,22633,a,3,2,1,1.62976,2.51108
33,22641,h,3,2,0,1.90101,0.45813
34,22651,a,0,0,1,1.63693,0.334967
35,22657,a,3,5,0,2.05666,1.88809
36,22667,h,1,1,1,1.61165,0.686603
37,22679,a,1,2,2,2.99853,1.63678
