,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22312,h,3,2,1,1.75411,2.22215
1,22319,a,1,2,2,0.494028,1.51003
2,22334,h,3,2,0,1.83665,1.05367
3,22340,a,1,1,1,0.895727,3.29559
4,22351,h,3,1,0,1.00903,0.532474
5,22359,a,0,0,1,0.0667791,1.64987
6,22367,h,0,0,4,0.612649,2.71689
7,22380,h,1,1,1,1.51817,1.74518
8,22393,a,1,1,1,0.808325,2.58184
9,22398,h,0,0,1,0.462357,1.33241
10,22412,a,0,1,2,1.20256,2.55177
11,22417,h,1,2,2,1.99035,2.22404
12,22427,a,1,2,2,1.52186,1.94683
13,22437,h,1,1,1,1.65827,1.51659
14,22447,a,1,1,1,0.985028,1.8919
15,22462,h,3,2,1,0.729342,1.84133
16,22467,a,0,0,2,1.1279,3.28691
17,22475,a,0,0,1,1.38509,1.4919
18,22489,h,1,1,1,1.61147,0.994223
19,22499,a,0,0,1,0.971265,1.08287
20,22511,h,0,0,3,0.493249,2.48407
21,22521,a,0,1,2,2.29888,2.08542
22,22534,h,3,3,2,2.31602,1.07539
23,22535,a,0,0,4,1.10831,1.77523
24,22547,a,0,0,2,0.415653,1.52802
25,22563,h,0,0,4,0.928229,3.07379
26,22566,a,1,1,1,1.29494,1.53511
27,22581,h,0,0,1,1.03517,0.556534
28,22594,a,3,1,0,2.01475,1.45145
29,22600,h,1,0,0,1.97592,1.69372
30,22612,a,0,0,3,0.841362,2.41313
31,22617,h,3,1,0,3.15126,0.136102
32,22634,a,3,3,0,2.36614,0.410145
33,22639,h,1,1,1,0.927644,1.09563
34,22645,a,1,1,1,1.81298,0.923968
35,22661,h,0,0,2,0.3485,1.63735
36,22668,h,0,0,2,1.03049,2.22033
37,22684,a,1,0,0,0.622384,1.83014
