,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22307,a,0,0,2,0.581247,2.49549
1,22316,h,3,2,0,2.0469,1.13824
2,22329,a,0,0,3,0.37036,1.96499
3,22340,h,1,1,1,3.29559,0.895727
4,22348,a,1,1,1,1.80956,1.02354
5,22363,h,1,0,0,1.02777,1.04179
6,22374,a,3,1,0,1.84951,1.49022
7,22381,h,3,3,0,3.73783,0.999628
8,22394,a,0,0,1,0.423669,2.53278
9,22399,h,1,1,1,0.40283,1.05616
10,22409,a,3,3,1,1.39014,1.12724
11,22418,h,1,1,1,1.16628,0.819686
12,22430,a,1,1,1,0.802396,1.58663
13,22443,h,0,1,2,0.656513,2.95935
14,22454,h,3,1,0,0.67177,1.74997
15,22459,a,0,0,3,1.42821,2.26584
16,22471,h,0,0,1,0.659021,1.95676
17,22484,a,1,0,0,1.09674,2.37308
18,22487,a,3,3,2,1.45289,1.14998
19,22504,h,0,1,5,1.07372,4.72502
20,22506,a,0,0,3,0.868813,1.78103
21,22519,h,3,1,0,0.419129,0.725542
22,22527,a,1,0,0,0.124799,0.780762
23,22543,h,1,0,0,0.831924,0.576842
24,22548,h,3,4,2,1.6186,1.33102
25,22564,a,3,2,0,2.6089,0.728802
26,22569,h,0,1,4,1.01584,1.89657
27,22582,a,3,3,2,1.66208,1.81546
28,22590,h,3,1,0,1.4436,0.443858
29,22604,a,0,0,1,0.560169,1.61585
30,22610,h,0,2,4,0.414034,2.70294
31,22622,a,1,0,0,0.409248,2.77216
32,22629,h,0,1,2,0.878869,2.19828
33,22639,a,1,1,1,1.09563,0.927644
34,22653,h,1,2,2,2.08077,1.57454
35,22656,a,0,1,2,1.19628,2.45011
36,22671,h,0,0,1,1.24886,2.22694
37,22680,a,0,0,2,1.13394,1.92843
