,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22306,a,3,3,1,1.31464,0.871157
1,22322,h,3,2,0,3.53489,0.145568
2,22330,h,0,1,2,1.04344,1.04826
3,22337,a,1,2,2,0.984291,1.33007
4,22346,a,1,0,0,1.84847,0.184666
5,22361,h,3,4,1,3.70921,0.82191
6,22367,a,3,4,0,2.71689,0.612649
7,22384,h,0,1,3,1.77418,1.76863
8,22387,a,3,3,1,2.65531,0.87241
9,22404,h,1,2,2,1.50253,2.37489
10,22413,a,3,2,0,1.67658,0.322231
11,22422,h,0,0,1,1.06052,0.38859
12,22426,a,3,2,1,2.51076,0.880466
13,22442,h,0,0,3,0.787314,2.58503
14,22451,a,0,0,1,1.00524,0.662608
15,22460,h,3,2,1,3.03273,1.83831
16,22474,a,0,0,2,0.44093,2.06895
17,22484,h,1,0,0,2.37308,1.09674
18,22494,a,0,0,3,1.14787,2.13004
19,22501,h,3,2,1,2.73312,0.151576
20,22520,a,1,0,0,0.169707,0.414353
21,22525,h,3,2,1,1.97716,1.18484
22,22539,a,0,0,1,0.502118,1.37304
23,22546,h,1,1,1,1.18788,0.285006
24,22556,a,1,1,1,1.46253,0.916353
25,22514,a,3,6,1,2.7969,0.237572
26,22573,h,3,2,1,1.7764,2.0359
27,22584,h,1,1,1,1.61516,1.12784
28,22587,a,1,1,1,1.36148,1.37916
29,22598,h,0,0,3,1.83498,1.55904
30,22610,a,3,4,2,2.70294,0.414034
31,22618,h,1,2,2,2.7326,2.31434
32,22626,a,0,0,1,0.891755,1.25351
33,22636,h,1,2,2,3.87555,1.78885
34,22654,a,1,1,1,1.1157,0.521861
35,22662,h,0,0,2,1.48316,1.74055
36,22666,a,1,2,2,1.32124,0.566509
37,22684,h,1,0,0,1.83014,0.622384
