,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22309,a,1,2,2,0.364297,2.00607
1,22323,h,1,1,1,0.559371,0.548425
2,22334,a,0,0,2,1.05367,1.83665
3,22343,h,0,0,3,0.694683,1.54562
4,22350,h,1,1,1,0.834621,0.98737
5,22356,a,0,0,1,0.477434,2.29107
6,22372,h,0,0,4,0.620122,2.5554
7,22381,a,0,0,3,0.999628,3.73783
8,22388,h,1,2,2,1.33333,1.4958
9,22396,a,0,0,1,0.778619,0.40726
10,22413,h,0,0,2,0.322231,1.67658
11,22423,a,1,2,2,0.946956,2.4684
12,22431,h,3,2,1,1.40102,1.83536
13,22435,a,0,0,3,0.780756,3.06935
14,22452,h,0,1,2,0.601235,1.67302
15,22455,a,0,1,4,0.976758,2.34764
16,22473,h,1,2,2,1.14336,2.9432
17,22479,a,3,1,0,0.768493,0.812164
18,22492,h,0,1,2,0.930992,1.82515
19,22501,a,0,1,2,0.151576,2.73312
20,22509,h,0,1,2,1.1539,1.11078
21,22524,h,0,1,2,1.42906,1.48834
22,22529,a,1,0,0,0.0814573,0.742534
23,22541,h,0,1,3,0.799924,2.14988
24,22550,a,0,0,4,0.0464174,4.48759
25,22564,h,0,0,2,0.728802,2.6089
26,22574,a,1,1,1,0.839171,1.98278
27,22576,a,0,2,4,1.17253,3.41823
28,22594,h,0,0,1,1.45145,2.01475
29,22596,a,0,0,3,0.702173,1.85322
30,22611,h,1,2,2,1.2795,1.88042
31,22615,a,0,1,4,0.544591,2.50164
32,22631,h,0,0,2,0.32683,2.45106
33,22640,a,0,0,3,1.03098,1.75172
34,22647,h,0,1,2,0.497067,2.26499
35,22660,a,1,1,1,0.921042,2.36999
36,22673,h,0,1,2,0.900837,2.33362
37,22682,a,1,3,3,1.80163,2.82527
