,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22310,h,0,0,2,0.381264,1.50058
1,22322,a,0,0,2,0.145568,3.53489
2,22325,h,3,3,1,2.62139,0.555465
3,22339,a,0,2,4,1.93433,2.97022
4,22353,h,3,4,2,1.74238,1.36816
5,22358,a,3,2,1,1.02404,1.02458
6,22374,h,0,0,1,1.49022,1.84951
7,22380,a,1,1,1,1.74518,1.51817
8,22392,h,0,0,2,0.319165,2.93562
9,22401,h,1,1,1,0.864789,0.829724
10,22414,a,0,1,2,0.499189,3.43408
11,22423,h,1,2,2,2.4684,0.946956
12,22429,a,3,4,3,2.97603,1.47716
13,22444,h,0,1,2,0.916551,1.9994
14,22446,a,0,1,2,1.29012,1.2382
15,22464,a,1,2,2,2.90114,0.750879
16,22472,h,0,1,2,2.17129,1.3709
17,22481,a,0,0,1,0.40374,1.49842
18,22490,h,3,1,0,0.701861,1.4924
19,22498,a,0,0,3,0.29509,1.23237
20,22519,a,0,0,1,0.725542,0.419129
21,22528,a,0,2,4,0.898681,0.889471
22,22540,h,1,1,1,0.803849,1.11139
23,22554,a,0,0,3,1.81361,5.00929
24,22561,h,0,2,3,1.60152,2.52542
25,22514,h,0,1,6,0.237572,2.7969
26,22567,a,0,0,1,0.360012,0.504318
27,22580,h,3,1,0,0.596618,1.38509
28,22592,a,0,0,1,0.777601,0.858457
29,22597,h,1,1,1,1.47611,1.72665
30,22611,a,1,2,2,1.88042,1.2795
31,22620,h,1,3,3,1.37198,3.05285
32,22634,h,0,0,3,0.410145,2.36614
33,22643,a,0,1,5,0.268378,4.29626
34,22651,h,3,1,0,0.334967,1.63693
35,22658,a,0,1,2,1.69037,0.81296
36,22669,h,0,0,2,0.269648,1.47384
37,22681,a,1,1,1,1.11933,1.25146
