,id,side,result,goals_for,goals_against,xG_for,xG_against
0,22313,h,1,0,0,1.03099,0.443184
1,22317,a,0,1,4,0.563184,3.25277
2,22331,h,3,1,0,0.481429,0.102008
3,22343,a,3,3,0,1.54562,0.694683
4,22354,h,1,1,1,1.10678,1.10764
5,22360,a,0,0,2,0.213455,0.773684
6,22371,h,1,0,0,0.617691,0.273624
7,22379,a,0,0,2,0.592513,2.40906
8,22390,h,0,0,3,0.596799,2.44253
9,22398,a,3,1,0,1.33241,0.462357
10,22414,h,3,2,1,3.43408,0.499189
11,22418,a,1,1,1,0.819686,1.16628
12,22425,a,0,0,2,0.573292,1.34938
13,22436,h,3,3,0,1.63866,0.345831
14,22448,a,1,0,0,1.06355,1.50797
15,22461,h,3,1,0,2.11343,0.28927
16,22468,h,1,1,1,0.666821,0.919531
17,22477,a,0,0,1,0.439657,0.885643
18,22494,h,3,3,0,2.13004,1.14787
19,22497,a,1,0,0,0.30855,0.575708
20,22523,a,3,2,1,2.42275,1.97593
21,22529,h,1,0,0,0.742534,0.0814573
22,22540,a,1,1,1,1.11139,0.803849
23,22547,h,3,2,0,1.52802,0.415653
24,22512,h,0,0,2,1.94911,0.352376
25,22559,a,0,2,3,0.551839,1.52399
26,22571,h,1,0,0,0.561691,0.697752
27,22584,a,1,1,1,1.12784,1.61516
28,22593,a,3,2,0,1.54612,0.384805
29,22604,h,3,1,0,1.61585,0.560169
30,22609,a,0,2,3,2.5343,0.487874
31,22619,h,1,0,0,0.834792,1.25957
32,22632,h,1,0,0,0.520991,0.57895
33,22641,a,0,0,2,0.45813,1.90101
34,22648,h,1,0,0,0.786625,0.169889
35,22659,a,3,2,1,0.956758,1.09252
36,22674,h,3,3,1,1.08012,1.64179
37,22675,a,0,0,3,1.69527,2.56869
