position,team_title,points,points_h,points_a,goals_per90_h,goals_per90_a,against_per90_h,against_per90_a,xG_per90_h,xG_per90_a,xGa_per90_h,xGa_per90_a,points_pvalue,goals_for_pvalue,goals_against_pvalue,xG_for_pvalue,xG_against_pvalue
1,Inter,94.0,46.0,48.0,2.3157894736842106,2.3684210526315788,0.5789473684210527,0.5789473684210527,2.5003312631578942,2.01718352631579,0.771512547368421,0.9857674684210526,0.7453165569957307,0.9056745263403827,1.0,0.17897354601274734,0.2293551270548585
2,AC_Milan,75.0,40.0,35.0,2.0,2.0,0.8947368421052632,1.6842105263157894,1.9734964210526318,1.8083854210526318,1.1525205263157894,1.3596850526315791,0.5279691135615387,1.0,0.05864761154729515,0.5754102468031397,0.3458725119272512
3,Juventus,71.0,40.0,31.0,1.368421052631579,1.4736842105263157,0.5789473684210527,1.0526315789473684,1.825710947368421,1.5154727894736844,0.5854745315789472,1.0865850000000001,0.22437292255158353,0.7445827816823931,0.12778173587136415,0.24677606117934098,0.0018957491845713263
4,Atalanta,69.0,41.0,28.0,2.210526315789474,1.5789473684210527,0.8421052631578947,1.368421052631579,2.2650192631578943,1.3386403684210528,1.1163022631578947,1.2159057368421053,0.12603269848031745,0.09290976687125367,0.1552166518637229,0.004994808738646394,0.6379782781836361
5,Bologna,68.0,41.0,27.0,1.736842105263158,1.105263157894737,0.631578947368421,1.0526315789473684,1.5428385263157895,1.3006009473684212,0.8872031578947369,1.2022417368421054,0.05980200023915235,0.09182615585924578,0.15939750064857655,0.3430695434583845,0.11382959910428041
6,Roma,63.0,40.0,23.0,2.0,1.4210526315789473,1.0,1.4210526315789473,1.602937,1.3926480526315788,0.7897922631578946,1.6852967368421052,0.037913517410597425,0.20445989644442433,0.24083946639807088,0.4127589385201388,0.0002428550148693048
7,Lazio,61.0,34.0,27.0,1.2105263157894737,1.368421052631579,0.7368421052631579,1.3157894736842106,1.4394075263157897,1.2652572105263158,0.8622852105263158,1.5196640000000001,0.4201082158678334,0.6367173173399565,0.049688644736384124,0.4824177905639129,0.012997000050688379
8,Fiorentina,60.0,35.0,25.0,1.9473684210526316,1.263157894736842,1.1578947368421053,1.263157894736842,1.877597578947369,1.1806022105263159,1.2136627368421051,1.679483052631579,0.23389864814411815,0.12986249283505563,0.7252784939614316,0.0222430902385942,0.15813141424988808
9,Torino,53.0,33.0,20.0,0.9473684210526315,0.9473684210526315,0.47368421052631576,1.4210526315789473,1.2334975263157895,1.0450691578947369,0.7014885947368422,1.3384927894736842,0.08967010202708886,1.0,0.008326974162837076,0.4254077516476382,0.008619488110632536
10,Napoli,53.0,25.0,28.0,1.263157894736842,1.631578947368421,1.4210526315789473,1.105263157894737,2.0981075789473684,1.5065974210526314,1.309381789473684,0.8953494210526317,0.7008156792241107,0.4399092747885497,0.2805964253542698,0.045532292106835646,0.0677385975078256
11,Genoa,49.0,30.0,19.0,1.4210526315789473,0.9473684210526315,1.1578947368421053,1.2105263157894737,1.1248424210526318,0.9116281052631577,1.1768724736842107,1.3374363157894738,0.15612099166093837,0.13933714103950362,0.8780722982116396,0.26440771608699365,0.47474189834847424
12,Monza,45.0,24.0,21.0,1.2105263157894737,0.8421052631578947,1.368421052631579,1.3157894736842106,1.2994657894736843,1.0981358421052632,1.6325717368421053,1.7268441052631578,0.7023819717091173,0.29832384960055647,0.9027192989745376,0.43791948230586675,0.7381674597811243
13,Lecce,38.0,24.0,14.0,0.8947368421052632,0.7894736842105263,1.4210526315789473,1.4210526315789473,1.3362568421052632,1.1702084789473686,1.5869406842105265,1.8548485789473683,0.15709301141317045,0.7196064570271616,1.0,0.45661499044449716,0.2848912497239635
14,Verona,38.0,24.0,14.0,1.2105263157894737,0.7894736842105263,1.368421052631579,1.3157894736842106,1.046895894736842,0.977284052631579,1.5366664736842108,1.5434966315789473,0.18290319535346417,0.10798718728838215,0.8693612927906225,0.7287729515963157,0.9788779072748711
15,Udinese,37.0,14.0,23.0,1.105263157894737,0.8421052631578947,1.5263157894736843,1.263157894736842,1.2842666263157896,1.0778681578947371,1.3286144210526316,1.468564736842105,0.14649812544472168,0.33026526451761473,0.4796566552088266,0.31248895163221185,0.6402527704880503
16,Cagliari,36.0,25.0,11.0,1.4736842105263157,0.7368421052631579,1.6842105263157894,1.894736842105263,1.5008492105263156,0.8906215789473685,1.3526937894736841,1.940146157894736,0.04902274107273898,0.02204151354750033,0.5991393584251664,0.01744939946920153,0.04184237425259027
17,Empoli,36.0,20.0,16.0,0.7894736842105263,0.7368421052631579,1.2105263157894737,1.631578947368421,1.086986,0.916237052631579,1.454947736842105,1.635078842105263,0.6043658342739979,0.8797991973264594,0.3498497191875205,0.46630765870902635,0.4928936436106892
18,Frosinone,35.0,25.0,10.0,1.4736842105263157,0.8421052631578947,1.6842105263157894,1.9473684210526316,1.3988281052631577,1.2434081052631576,1.558704894736842,1.864854052631579,0.03585675138569775,0.06367806440729794,0.5827223505977365,0.4753412396023765,0.3601521208531999
19,Sassuolo,30.0,20.0,10.0,1.2105263157894737,1.0526315789473684,1.7894736842105263,2.1578947368421053,1.0936694210526314,1.1972826842105262,1.7328381578947372,1.7894638947368422,0.15849474477871606,0.6627980542932601,0.3914129926536921,0.6962528796666212,0.8729156137779476
20,Salernitana,17.0,8.0,9.0,0.8947368421052632,0.7894736842105263,2.0,2.263157894736842,0.8951755263157894,0.759904142105263,1.8625613157894738,2.296975157894737,0.8344189053422005,0.6990237241695576,0.4558844194146071,0.3016412221804989,0.11617823597736336
